Keyword	username	date	retweets	text	hashtags	id
Brown Rust	NancyEllenSt	3/22/2016 8:05	0	Door snake, brown rust amber yellow, door draft stopper, unfilled b… http:// etsy.me/1RcBqY5 #Etsy #DoorDraftStopper pic.twitter.com/kD9VvA6Fty	#Etsy #DoorDraftStopper	7.12173E+17
Brown Rust	notiven	5/11/2016 23:00	0	RT: @agronotas :Retweeted Ron Granger ( @reglimagrain ): Interesting #Winter barley brown rust in variety trials @LGSeedsUK in... https://t.c	#Winter	7.30503E+17
Brown Rust	taschekats	4/10/2016 16:47	0	Beanie hat skull cap in brown rust camel tweed http:// etsy.me/1XZq1jl via @Etsy #hockey #ski #skateboard #musician #biker #runner #chemocap	#hockey #ski #skateboard #musician #biker #runner #chemocap	7.19175E+17
Brown Rust	bmorrissd2	3/17/2016 22:48	0	Scarf, Neck Warmer, Brown, Rust , Black Tan, Button accent. by LovetoKnitHats http:// etsy.me/1QEw2uh via @Etsy		7.10584E+17
Brown Rust	Empire365	3/10/2016 5:41	0	@JayDowTV sometimes brown rust ..sometimes it tastes like someone tossed in beach water.		7.07788E+17
Brown Rust	justlenajewelry	5/15/2016 5:53	0	Brown Rust Genuine Leather https://www. etsy.com/listing/188186 179/brown-rust-genuine-leather … pic.twitter.com/ZgxhuYsciu		7.31694E+17
Brown Rust	cropresearchse1	4/5/2016 12:31	0	Cold weather reduced brown rust levels in #Rye , still alot old leaf material though. Unt on LHS, RHS Opus Team 1.0 pic.twitter.com/IWI3nHRkjb	#Rye	7.17299E+17
Brown Rust	ctheory	5/17/2016 4:51	0	@Buccigross Brown / Rust #bucciovertimechallenge	#bucciovertimechallenge	7.32403E+17
Brown Rust	NancyEllenSt	4/22/2016 2:03	0	Door snake, brown rust amber yellow, door draft stopper, unfi… http:// tuppu.net/a6b2af3c #NancyEllenStudios #BrownRust pic.twitter.com/6pt5c5UUUp	#NancyEllenStudios #BrownRust	7.23301E+17
Brown Rust	SweetTTreasures	6/12/2016 1:42	18	Beautiful Hand Crocheted Afghan Brown Rust by SweetTeaTreasures http:// etsy.me/1MlnlSy via @Etsy		7.41778E+17
Brown Rust	danshaferMKE	3/17/2016 16:19	0	@evanhatestwitr if I ever start a band, our first album will be called Intentional Brown Rust		7.10486E+17
Brown Rust	NieWhite04	6/25/2016 1:23	0	La Sportiva FC ECO 3.0 GTX Boot – Men’s Brown / Rust 46.5: Click Here !! If you are seeking Top Rated Hiking ... http:// bit.ly/28Z4enY		7.46484E+17
Brown Rust	ModernOwners	5/6/2016 18:04	0	http:// ift.tt/21EtYIk SANUK Mens Donny Slip On Sandal Shoes Size 12 Maroon Dark Brown/Rust /Tan JD1		7.28616E+17
Brown Rust	SweetTTreasures	6/1/2016 4:31	0	Beautiful Hand Crocheted Afghan Brown Rust by SweetTeaTreasures http:// etsy.me/1MlnlSy via @Etsy		7.37834E+17
Brown Rust	WelcomeMeBack	3/24/2016 20:34	0	http:// ift.tt/1S9jqu8 JOHN VARVATOS Oxblood Brown Rust Suede Lace-less Boat Shoes Loafers 10 US $198		7.13087E+17
Brown Rust	Mandi_Ottoson	6/27/2016 12:45	0	#flannelshirts #Sale TRUE RELIGION long sleeve brown/rust plaid flannel shirt (L)-NICE! http:// dlvr.it/Lg1DbQ #Women #shirts	#flannelshirts #Sale #Women #shirts	7.4738E+17
Brown Rust	TJex_Agronomy	6/27/2016 19:34	5	Tan Spot in Graham, & Brown Rust in many of the untreated plots including Crusoe,Graham &Lili. @AgriiWest @ssmshah pic.twitter.com/V3HxCWYBnt		7.47483E+17
Brown Rust	jillian_salazar	4/13/2016 7:58	0	Why yes I am tired of brown rust stains #dmtalk	#dmtalk	7.20129E+17
Brown Rust	assyrianliege	5/13/2016 2:44	0	Thing is even those bridges aren't worth jumping off of. Imagine dying off a 50 year old bridge with no style. Just brown rust everywhere.		7.30922E+17
Brown Rust	evanhatestwitr	3/17/2016 16:04	1	"@danshaferMKE I like the intentional  brown-rust patina."" As opposed to the unintentional "" brown-rust patina"" of Miller Park and the MAM."""		7.10482E+17
Brown Rust	GotVintageShops	5/10/2016 0:34	0	Embroidery Floss Brown Rust Orange Vintage by VikisVarietyCraft http:// etsy.me/1pZwnue via @Etsy #GotVintage #Vintage #Sewing	#GotVintage #Vintage #Sewing	7.29802E+17
Brown Rust	commodityindia	6/17/2016 14:15	0	Cereals 2016- Brown rust threat to wheat crops in the east - 06/17/2016 http://www. commodityindia.com		7.43779E+17
Brown Rust	ATBvintage	3/18/2016 1:37	0	Vtg 70s long velvet dress golden brown rust colored velvet dress #Unbranded http://www. ebay.com/itm/Vtg-70s-lo ng-velvet-dress-golden-brown-rust-colored-velvet-dress-/141911297948?roken=cUgayN&soutkn=NaxWVy … via @eBay	#Unbranded	7.10626E+17
Brown Rust	LowerPriceTag	6/7/2016 16:01	0	Check out Leather Jacket Women's 100% Cotton Motorcycle Biker Size:XL Brown/Rust Orange #leather http://www. ebay.com/itm/Leather-Ja cket-Womens-100-Cotton-Motorcycle-Biker-Size-XL-Brown-Rust-Orange-/131841208034?roken=cUgayN&soutkn=X1nNeg … via @eBay	#leather	7.40182E+17
Brown Rust	joesue09	4/25/2016 5:07	0	Leslie Fay Jacket 10P Brown Rust Navy Panels Over stitching Long Sl. #LeslieFay #BasicJacket http:// pinterest.com/pin/4823074413 25523150/ …	#LeslieFay #BasicJacket	7.24435E+17
Brown Rust	SweetTTreasures	5/21/2016 4:35	0	Beautiful Hand Crocheted Afghan Brown Rust by SweetTeaTreasures http:// etsy.me/1MlnlSy via @Etsy		7.33849E+17
Brown Rust	NieStuart	4/18/2016 20:11	0	ZnZ Rugs Gallery, 20064_4x6, Hand Made Yellow New Zealand Blend Wool Rug, 1, Brown, Rust , Blue, 4×6′: Click He... http:// bit.ly/1Vy19gy		7.22125E+17
Brown Rust	vincevictoria21	4/2/2016 14:27	0	The colors and sweat all coalesce into a ruddy brown, rust -like color.		7.16241E+17
Brown Rust	Root4HomeTeam	3/29/2016 20:55	0	http:// ift.tt/1pIkLRL #shoes JOHN VARVATOS Oxblood Brown Rust Suede Lace-less Boat Shoes Loafers 10 US $198 pic.twitter.com/XV2GAwDEpc	#shoes	7.14889E+17
Brown Rust	RiniStuart	4/18/2016 20:11	0	ZnZ Rugs Gallery, 20064_4x6, Hand Made Yellow New Zealand Blend Wool Rug, 1, Brown, Rust , Blue, 4×6′: Click He... http:// bit.ly/1Vy19gy		7.22125E+17
Brown Rust	YankMyFrank	5/17/2016 4:48	0	Brown / Rust #bucciovertimechallenge @Buccigross	#bucciovertimechallenge	7.32402E+17
Brown Rust	NancyEllenSt	3/12/2016 21:05	0	Door snake, brown rust , door draft stopper, unfilled breeze blocker, cus… http:// etsy.me/1KlqV3T #Etsy #EnergySaver pic.twitter.com/zDqjplJ5sX	#Etsy #EnergySaver	7.08746E+17
Brown Rust	wheatgen_papers	6/9/2016 23:47	0	Pathogen-regulated genes in wheat isogenic lines differing in resistance to brown rust … http:// dlvr.it/LWnFBD pic.twitter.com/gYo9NjvrsW		7.41024E+17
Brown Rust	TerrisThreadArt	5/19/2016 18:31	0	Varigated Brown Rust Hand Dyed Silk Ribbon 7mm by TerrisThreadArt http:// etsy.me/1RbgnAz via @Etsy Visit my shop 4 beautiful hand dyed silk		7.33334E+17
Brown Rust	taschekats	4/13/2016 18:17	0	Beanie hat skull cap in brown rust camel tweed http:// etsy.me/1XZq1jl via @Etsy #musician #ski #biker #skateboard #artist #hockey #football	#musician #ski #biker #skateboard #artist #hockey #football	7.20285E+17
Brown Rust	24InMyMind	3/22/2016 17:44	0	Check out Vintage 70s Polyester Knit Pants, Slacks, Size 32, Brown, Rust , Hipster, Flare https://www. ebay.com/itm/2819343702 75 … @eBay		7.12319E+17
Brown Rust	LittleGreyBear	4/3/2016 16:10	0	Shop @eBay - HOT COTTON Jacket Size L Black Brown Rust 100% Linen Pockets Zip Front Top #HotCotton http://www. ebay.com/itm/-/37157215 0931?roken=cUgayN&soutkn=Yee3bm … #fashion #deal	#HotCotton #fashion #deal	7.16629E+17
Brown Rust	joesue09	3/26/2016 3:46	0	Check out Leslie Fay Jacket 10P Brown Rust Navy Panels Over stitching Long Sl. #LeslieFay http://www. ebay.com/itm/-/16201875 7944?roken=cUgayN&soutkn=zoxMlg … via @eBay	#LeslieFay	7.13558E+17
Brown Rust	tomsbolts	5/17/2016 4:57	0	Brown/Rust #bucciovertimechallenge	#bucciovertimechallenge	7.32405E+17
Brown Rust	LittleGreyBear	5/4/2016 16:44	0	Shop @eBay - Hot Cotton 100% Linen Jacket Size L Black Brown Rust Pockets Zip Front Top http://www. ebay.com/itm/-/16203463 2569?roken=cUgayN&soutkn=iDaeGQ … #fashion #deal	#fashion #deal	7.27872E+17
Brown Rust	onlinelisting	6/13/2016 23:57	0	Patio Dining Set Outdoor Furniture 7 Pc Chairs Table Brown Rust Resistant Steel: $429.99 End Date: Wednesday... http:// fb.me/4ADiYB1q7		7.42476E+17
Brown Rust	millsusmaechys1	4/15/2016 19:32	0	"23% Off #CaptJimsNauticalCargo Aluminum Brown & Rust Finish 11"" Ship's Porthole Mirrorhttp://eyethuonline.com/shop… pic.twitter.com/l7KlrXTTBn"	#CaptJimsNauticalCargo	7.21028E+17
Brown Rust	Root4HomeTeam	4/23/2016 20:13	0	http:// ift.tt/218eeNz AKRIS Chestnut Brown Rust Lamb Suede Finley Jacket Coat Sz 10 NWT $3,990		7.23938E+17
Brown Rust	24InMyMind	3/11/2016 2:37	0	#Vintage #70s Polyester Knit Pants, #Slacks , Size 32 Brown Rust #Hipster Flare #mensfashion http://www. ebay.com/itm/Vintage-70 s-Polyester-Knit-Pants-Slacks-Size-32-Brown-Rust-Hipster-Flare-/281934370275?roken=cUgayN&soutkn=2gSfgm … pic.twitter.com/2tPoeqqmVR	#Vintage #70s #Slacks #Hipster #mensfashion	7.08104E+17
Brown Rust	schoFieldWalkin	3/23/2016 15:01	1	Brown rust showing up on Quadra Hybrid Barley. T0 going on on soon. #syngenta #hybridbarley #clubhectare pic.twitter.com/doNNsHBFY9	#syngenta #hybridbarley #clubhectare	7.1264E+17
Brown Rust	wheat2006	5/27/2016 16:27	0	Brown rust is out early this year... pic.twitter.com/EYLMFVdZFn		7.36202E+17
Brown Rust	Johnkier46	5/23/2016 5:09	0	@DKPghSports @Dejan_Kovacevic Brown/Rust		7.34582E+17
Brown Rust	bgbrwneyesNY	3/31/2016 1:10	1	Vintage 1978 YVES SAINT LAURENT Bath Towel Brown Rust Creme Gray RARE http://www. ebay.com/itm/-/20155212 8118?roken=cUgayN&soutkn=UfZ65S … via @eBay #1978YvesStLaurentBathTowel	#1978YvesStLaurentBathTowel	7.15315E+17
Brown Rust	_iluvmarijuana	5/11/2016 17:55	0	Info needed about brown/rust spots please: Forum: Problems, Pests & Disease Control Posted By: StickyOG Post ... http:// bit.ly/1Oi7afc		7.30426E+17
Brown Rust	Robot_Jeff	4/12/2016 9:18	0	Save $19.19 #Brixton Brixton Weldon Flannel Shirt - Men's Brown/Rust , S http:// ift.tt/1VPJIaa pic.twitter.com/jJY94E6FBL	#Brixton	7.19787E+17
Brown Rust	ModernOwners	6/7/2016 1:34	0	http:// ift.tt/1Uv7DXT ECCO Berlin Bicycle Toe Slip On Shoes Brown Rust Size 45 EU / 11 - 11.5 US		7.39964E+17
Brown Rust	ThyStuart	4/18/2016 20:11	0	ZnZ Rugs Gallery, 20064_4x6, Hand Made Yellow New Zealand Blend Wool Rug, 1, Brown, Rust , Blue, 4×6′: Click He... http:// bit.ly/1Vy19gy		7.22125E+17
Brown Rust	WelcomeMeBack	6/23/2016 4:10	0	http:// ift.tt/28ORUVM Bed Stu Coaster Brown Rust Leather Loafers Mens Size 11		7.45801E+17
Brown Rust	Zereoxys	4/18/2016 4:32	0	@camilla_eboobs You are the pots brown rust		7.21889E+17
Brown Rust	ChocolateCooks	3/18/2016 13:11	0	"Animal Print Scarf &#45; Grey / Brown&#45;Rust Look of the Day: Maybelline Eyeshadow &#45; ColorLights &#45;... http:// food212.com/v/PHmX"	#45 #45 #45 #45	7.10801E+17
Brown Rust	ChocolateCooks	3/14/2016 17:11	0	"Animal Print Scarf &#45; Grey / Brown&#45;Rust Look of the Day: Maybelline Eyeshadow &#45; ColorLights &#45;... http:// food212.com/v/PHmX"	#45 #45 #45 #45	7.09412E+17
Brown Rust	eBayShopperNews	4/9/2016 21:07	0	#shoes #ebay NWT Nevados Mens Hawkster Low Hiking Shoes RP $49.99 Brown / Rust SIZES 13 http:// ebay.to/1qElAMA #eBayUS #BuyNow	#shoes #ebay #eBayUS #BuyNow	7.18878E+17
Brown Rust	BlingScarves	4/1/2016 19:54	1	Diva Brown RUST scarf, Gift for Boss, Formal neck scarf, Pocket Scarf, Holiday Gift f by blingscarves http:// etsy.com/listing/267465 083/diva-brown-rust-scarf-gift-for-boss?ref=shop_home_active_8#20160401015402 … #handmade	#20160401015402 #handmade	7.1596E+17
Brown Rust	RandallFarmsLtd	6/19/2016 21:51	0	@HenmanAnthony Yep - it's that distinctive green. Should do ok if we can control the brown rust .....		7.44619E+17
Brown Rust	openedjesus	5/1/2016 17:55	1	I was able to get brown rust on silver #jewelry #silver #ring #skull #black #openedjesus #スカルリング #ドクロ #スカル #シルバー pic.twitter.com/J93XqbkGgZ	#jewelry #silver #ring #skull #black #openedjesus # # # #	7.26802E+17
Brown Rust	fulltimeetsy	3/8/2016 17:18	0	FTEC at Etsy Knit Ribbon Scarf Brown, Rust , Copper, Burnt Orange, Champagne, Black for Women Accessories with ... http:// etsy.me/1Ys8Mnv		7.07239E+17
Brown Rust	AndrewWilson44	5/17/2016 4:48	0	@Buccigross #bucciovertimechallenge Brown/Rust	#bucciovertimechallenge	7.32402E+17
Brown Rust	cropresearchse1	6/17/2016 11:04	0	#Rye untreated fungicide plot, what a difference in a week on brown rust ! LHS pic took 7 days ago. RHS today pic.twitter.com/VLIHXR4vck	#Rye	7.43731E+17
Brown Rust	ALugrine91	5/23/2016 5:01	0	@Buccigross J.T Brown / Rust #bucciovertimechallenge @MelMart502	#bucciovertimechallenge	7.3458E+17
Brown Rust	AgWillVF	4/16/2016 21:42	0	@russbmckenzie Bit concerned about brown rust in Crusoe although this cold weather is holding that quite well!		7.21424E+17
Brown Rust	fleeknsleek247	6/8/2016 6:29	0	Beautiful brown/rust animal print top size large http:// dlvr.it/LW0JKs #boutique #fashion #forsale pic.twitter.com/FXffC3p0BR	#boutique #fashion #forsale	7.404E+17
Brown Rust	ModernOwners	3/8/2016 5:29	0	http:// ift.tt/1W4VLi6 Mens shoes CHACO Pedshed choc brown rust leather hiking mocs slip ons sz 10		7.07061E+17
Brown Rust	jewelrytreasure	6/29/2016 15:15	0	Brown Rust Diamond Stone Clip On Earrings Gold Ton… http:// tuppu.net/289ee1a2 #PrettyVintiqueJewels #BrownStoneButtons pic.twitter.com/6aV0JKfwAG	#PrettyVintiqueJewels #BrownStoneButtons	7.48143E+17
Brown Rust	Root4HomeTeam	5/28/2016 0:11	0	http:// ift.tt/25r1o2U AKRIS PUNTO 10 12 BROWN RUST Orange Red Wool ANGORA LUXURY Jacket Womens Blazer		7.36319E+17
Brown Rust	JasonChris69	6/25/2016 1:23	0	La Sportiva FC ECO 3.0 GTX Boot – Men’s Brown / Rust 46.5: Click Here !! If you are seeking Top Rated Hiking ... http:// bit.ly/28Z4enY		7.46484E+17
Brown Rust	EndahWine	4/18/2016 20:11	0	ZnZ Rugs Gallery, 20064_4x6, Hand Made Yellow New Zealand Blend Wool Rug, 1, Brown, Rust , Blue, 4×6′: Click He... http:// bit.ly/1Vy19gy		7.22125E+17
Downy Mildew	GardenPresEvent	6/15/2016 8:50	0	A new gardening plague: aquilegia downy mildew http:// flip.it/FzQbu		7.42973E+17
Downy Mildew	crsimp01	5/10/2016 22:53	0	Controlling downy mildew on hop | MSU Extension http:// msue.anr.msu.edu/news/controlli ng_downy_mildew_on_hop …		7.30139E+17
Downy Mildew	BOULLETP	6/20/2016 16:00	0	WEATHER WARNING : downy mildew conditions have been reached pic.twitter.com/kzT7pW5ck9		7.44893E+17
Downy Mildew	ColeGardens	3/11/2016 15:56	1	This is downy mildew on a basil leaf Plant & enjoy basil early in the summer A later crop may get effected with D.M. pic.twitter.com/nP61Ap7mX3		7.08306E+17
Downy Mildew	amiran_kenya	3/26/2016 19:05	0	@AlexBosire It's Downy Mildew . Spray either Victory or Sphinx Extra each 50g/20ltrs		7.13789E+17
Downy Mildew	APS_CLARE	5/17/2016 18:24	1	Nocturnal fanning suppresses downy mildew epidemics in sweet basil http:// journals.plos.org/plosone/articl e?id=10.1371/journal.pone.0155330 …		7.32608E+17
