username;date;retweets;text;hashtags;id;AgriTweet;Category
SharonMoncur;4/29/2016 17:28;0;Is this peach leaf curl ? I think it is an almond. pic.twitter.com/RSGxullac4;;7.26071E+17;y;others
Astronomer72;6/27/2016 13:04;0;Hello, my peach trees (5) are full of fruit this year in my garden… without leaf curl … pic.twitter.com/G8w2BT6CHA;;7.47385E+17;y;others
ali___khan;5/27/2016 9:02;1;@ArifAlvi we need to introduce(be it locally or thru multinational cos), varieties that are CLCV(cotton leaf curl virus) resistant;;7.3609E+17;y;others
BotanicalValues;5/14/2016 9:39;0;Gardening is about learning from your mistakes. Failure to spay copper sulphate this winter = peach leaf curl - yuk pic.twitter.com/ppfo7MxoCJ;;7.31388E+17;y;self
hydroselect;3/1/2016 8:35;0;I added a video to a @YouTube playlist http:// youtu.be/797aRVtLuCE?a Garden Sage 10 Leaf Curl;;7.04571E+17;y;Awareness
viviannastevens;6/5/2016 17:26;0;Leaf curl on peppers - what is it? http:// ift.tt/1Px0mLk #Gardening;#Gardening;7.39479E+17;y;Awareness
GardeningHQnet;3/8/2016 0:52;0;#gardening Gardening Australia S26E23 – Preventing Leaf Curl – Camellia C ... - http:// gardeninghq.net/gardening-aust ralia-s26e23-preventing-leaf-curl-camellia-care-little-africa-faqs-hybrid-st/ … #RT #Retweet pic.twitter.com/W63sZdV59T;#gardening #RT #Retweet;7.06991E+17;y;Awareness
Annapplbiol;3/29/2016 8:41;0;Resistance to Tomato leaf curl New Delhi virus in Cucurbita spp. http:// onlinelibrary.wiley.com/doi/10.1111/aa b.12283/abstract …;;7.14704E+17;y;Research
gardenknowhow;6/8/2016 8:01;3;Latest #gardening article: Oleander Leaf Curl Issues: Reasons For Leaf Curl On Oleander http://www. gardeningknowhow.com/ornamental/shr ubs/oleander/oleander-leaf-curl.htm?utm_campaign=twitter&utm_medium=twitter&utm_source=twitter … pic.twitter.com/HzlOyMcbyw;#gardening;7.40423E+17;y;Awareness
Diggyroo;4/5/2016 5:49;0;@RoyalTenrou @brigusdawg Peach Leaf Curl which is a viral infection I believe. It cant be treated but may affect your crop not 100% sure;;7.17198E+17;y;others
collectobserve;6/15/2016 22:53;1;Tomatorugose yellow leaf curl virus pic.twitter.com/HDNr99kFIN;;7.43185E+17;n;
