username;date;retweets;text;hashtags;id;AgriTweet;Category
ModernOwners;6/24/2016 13:02;0;http:// ift.tt/28TspGC Salvatore Ferragamo Studio Brown / Rust Leather Loafers 9 D Shoes $585;;7.46297E+17;n;
shako1717;5/23/2016 4:53;0;Brown/Rust #bucciovertimechallenge;#bucciovertimechallenge;7.34578E+17;n;
WelcomeMeBack;4/18/2016 3:54;0;http:// ift.tt/1QgG2r5 NIB GUCCI Leather Horsebit Loafer Shoes Size 12 Brown Rust;;7.2188E+17;n;
AgriCatherine;3/30/2016 12:16;0;No brown rust in the Crusoe variety ploys at the @Bayer4CropsUK Hambledon demo site at the moment. How is Crusoe looking where you are?;;7.1512E+17;y;others
partynovels;5/26/2016 7:17;0;@aspiringcat (my mother refused to buy me breaches/jods that were not in the brown/rust /beige/sage family. No pink Carets 4 moi.);;7.35701E+17;n;
GotVintageShops;6/16/2016 3:13;3;Embroidery Floss Brown Rust Orange Vintage by VikisVarietyCraft https://www. etsy.com/listing/194946 688/embroidery-floss-brown-rust-orange?ref=shop_home_active_19 … #GotVintage #Vintage #Sewing;#GotVintage #Vintage #Sewing;7.4325E+17;n;
WelcomeMeBack;5/25/2016 12:21;0;http:// ift.tt/1OW5vMJ Salvatore Ferragamo Studio Brown / Rust Leather Loafers 9 D Shoes $585;;7.35416E+17;n;
JandTsMadness;4/3/2016 18:00;2;New Brown Rust Celtic Print One Shoulder Silk Blend MIDI Sundress Dress L | eBay http:// ow.ly/10ekFN;;7.16657E+17;n;
AdamaUK_;6/23/2016 11:15;4;Brown rust , ear rust & Fusarium - adventures in Tiptree with @GemmaSparrow1 last week pic.twitter.com/FoduLt73tM;;7.45908E+17;y;self
JandTsMadness;3/12/2016 0:20;0;New Brown Rust Celtic Print One Shoulder Silk Blend MIDI Sundress Dress L | eBay http:// ow.ly/ZmC4S;;7.08432E+17;n;
jonnporter8661;3/18/2016 7:01;0;#dmtalk Are you tired of brown rust stains in your toilet? Does the water taste bad? Who tastes the water in their toilet? Dogs don't care.;#dmtalk;7.10708E+17;n;
bmorrissd2;6/22/2016 1:29;0;Scarf, Neck Warmer, Brown, Rust , Black Tan, Button accent. by LovetoKnitHats http:// etsy.me/1QEw2uh via @Etsy;;7.45398E+17;n;
