username;date;retweets;text;hashtags;id;agree tweet y/N;category
edelponte;5/5/2016 22:55;0;@rob_choudhury @nikcunniffe @tofazzalislam @KamounLab ok, but this one is for wheat scab (Fusarium head blight ) not wheat blast;;7.28E+17;y;others
GoddessofGrain;5/16/2016 17:19;0;Fusarium Head Blight Risk Assessment Tool for the Soft Red Wheat area: http://www. wheatscab.psu.edu /;;7.32E+17;y;research
wheat_papers;5/20/2016 20:46;0;Toward a better understanding of the genomic region harboring Fusarium head blight … http:// dlvr.it/LML1Xw pic.twitter.com/EGmCevCtwW;;7.34E+17;y;research
Irish_Atheist;4/14/2016 3:51;0;@Lorata I'm my head Blight sends a package of Jules's slacks and button ups to Devon and Devon is confused because he legit thinks it's his;;7.20E+17;y;others
FarmsNews;5/2/2016 14:51;1;Fusarium Head Blight Or Scab Of Wheat Read more... http://www. farms.com/commentaries/f usarium-head-blight-or-scab-of-wheat-and-other-head-diseases-of-winter-wheat-106864.aspx … pic.twitter.com/6zMmZO9f2T;;7.27E+17;y;awareness
BrewersAssoc;6/21/2016 21:31;3;Last chance to register for the June 23 #BAPowerHour : Fusarium Head Blight in Malting Barley - http:// ow.ly/PQjy30163vc;#BAPowerHour;7.45E+17;y;ad
BS_PP;4/5/2016 18:39;4;Fusarium Head Blight & Wheat Blast meeting Brazil starts tomorrow: hashtag #scabandblast;#scabandblast;7.17E+17;y;ad
midwestgrain;4/21/2016 14:12;0;Kentucky Wheat: Fungicide Considerations for Fusarium Head Blight #agfax http:// buff.ly/1rjrvab pic.twitter.com/WcqzigYW4o;#agfax;7.23E+17;y;others
uidahoextension;3/7/2016 21:45;0;Fusarium Head Blight Causes Barley Headaches http:// magicvalley.com/business/agric ulture/fusarium-head-blight-causes-barley-headaches/article_7112e9ff-98c1-5ae3-bbb6-25b1bd518f2f.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share … via @twinfallstn;;7.07E+17;y;awareness
GerminationMag;4/7/2016 15:45;4;[Webinar] Management is Key to Controlling Fusarium Head Blight . Sponsored by @SeCan . Register here: http:// ow.ly/10oMQ7;;7.18E+17;y;ad
BrewersAssoc;6/14/2016 19:31;2;Register now for the June 23 #BAPowerHour : Fusarium Head Blight in Malting Barley - http:// ow.ly/PQjy30163vc;#BAPowerHour;7.43E+17;y;ad
on_agfax;4/21/2016 14:12;3;Kentucky Wheat: Fungicide Considerations for Fusarium Head Blight #agfax http:// buff.ly/1SknatJ pic.twitter.com/mZa1TlgGg6;#agfax;7.23E+17;y;others
UTcrops;4/22/2016 21:53;0;New post: Prevent Scabby Heads – Assessing Fusarium Head Blight in Wheat http:// news.utcrops.com/?p=12856;;7.24E+17;y;awareness
EdRojasT;6/26/2016 13:59;1;Fusarium Head Blight season is upon us. Great video from Wheat School - FHB Fungicide Application Tips https:// youtu.be/L2okT-pyb7g #IDM #Wheat;#IDM #Wheat;7.47E+17;y;awareness
AgriVille;6/25/2016 17:16;1;Monitoring The Spread of fusarium head blight (FHB) in Western Canada Watch http:// Farms.com/commentaries/v ideo-spread-of-fusarium-head-blight-fhb-in-western-canada-109165.aspx … pic.twitter.com/ciksj97UxO;;7.47E+17;y;awareness
GerminationMag;4/28/2016 23:30;1;Have you seen the latest #GerminationWebinar ? Managing Fusarium Head Blight : http:// ow.ly/4ndaZJ #FHB;#GerminationWebinar #FHB;7.26E+17;y;ad
hacommoditynews;5/9/2016 20:56;0;High risk for fusarium head blight in Indiana - Grains market news http:// fb.me/2Nf18KoWo;;7.30E+17;y;news
GerminationMag;3/8/2016 2:20;0;Learn about the history of fusarium head blight in Canada in the next #GerminationWebinar http:// ow.ly/ZahrH pic.twitter.com/YOxB2e3lZc;#GerminationWebinar;7.07E+17;y;ad
CntryGuide;6/7/2016 17:04;2;Crop Chatter: 2016 Fusarium Head Blight Risk Maps online at #Manitoba #Agriculture . http:// ow.ly/Sl003010yDM #crops #cereals;#Manitoba #Agriculture #crops #cereals;7.40E+17;y;awareness
OSU_smallgrains;5/25/2016 23:45;1;There's still some time for growers in NC and NE OK to check and see if Fusarium head blight (aka scab) is present https:// twitter.com/KSUWheat/statu s/735570616456122368 …;;7.36E+17;y;awareness
MBGovAg;6/28/2016 21:45;8;Daily #Fusarium Head Blight risk forecast maps are updated here http:// bit.ly/1rvhDnX . #MBAg pic.twitter.com/TpsQS4kSt7;#Fusarium #MBAg;7.48E+17;y;awareness
MBGovAg;6/6/2016 23:51;23;#Fusarium head blight risk forecast maps are now available. Get daily updates here http:// bit.ly/1rvhDnX . #MBAg pic.twitter.com/RQELjhFMtN;#Fusarium #MBAg;7.40E+17;y;awareness
Grainews;4/29/2016 15:42;0;Spot blotch, net blotch will join fusarium head blight as problems in #barley #crops . http:// ow.ly/4neTKj;#barley #crops;7.26E+17;y;awareness
Sk_Wheat;4/13/2016 0:29;11;Fusarium watch 2016 - knowledge is the key to reducing fusarium head blight risk http://www. saskwheatcommission.com/newspost/fusar ium-watch-2016/ … #westcdnag pic.twitter.com/gzFmLOWg0X;#westcdnag;7.20E+17;y;awareness
RuralGrubby;6/2/2016 19:03;0;Wheat Fungicide Decision Tree for Fusarium Head Blight and Stripe Rust https:// shar.es/1dLUoy via @sharethis;;7.38E+17;y;awareness
SDSUAgBio;4/12/2016 20:35;2;Emmanuel Byamukama shares Fusarium Head Blight research results at SD Wheat Commission meeting today @SDSUPlantPath pic.twitter.com/mRPKtaWZkp;;7.20E+17;y;others
GMK_Agronomy;4/29/2016 16:51;1;Time to assess risk of Fusarium Head Blight in #wheat . Refresh your knowledge with PDF from Purdue. #FSAgronomy https://www. extension.purdue.edu/extmedia/BP/BP -33-W.pdf …;#wheat #FSAgronomy;7.26E+17;y;awareness
kernalbrewing;6/27/2016 21:00;0;Fusarium Head Blight in Malting Barley #brewingmadeeasy http:// feedproxy.google.com/~r/brewersasso ciation/ODag/~3/0rPdVoWseME/ …;#brewingmadeeasy;7.48E+17;y;awareness
goyalvgvarun;5/28/2016 7:21;0;Integrated Metabolo-Transcriptomics Reveals Fusarium Head Blight Candidate Resistance Genes in Wheat QTL-Fhb2 http:// journals.plos.org/plosone/articl e?id=10.1371%2Fjournal.pone.0155851 …;;7.36E+17;y;research
BASFAgro;5/17/2016 13:41;5;Missouri Univ: Time to consider fungicide application to manage Fusarium head blight http:// on.basf.com/1OAownL #ag pic.twitter.com/uckXKoQgMr;#ag;7.33E+17;y;ad
plant_biology;4/16/2016 15:03;0;The cold-induced defensin TAD1 confers resistance against snow mold and Fusarium head blight in transgenic wheat. http:// dlvr.it/L4KlpG;;7.21E+17;y;research
wheatpath;4/25/2016 14:57;6;Review on the role of insects in the #epidemiology of #wheat #FHB ( #Fusarium head blight ) http:// onlinelibrary.wiley.com/doi/10.1111/pp a.12546/abstract … … pic.twitter.com/7aDRNSZFaq;#epidemiology #wheat #FHB #Fusarium;7.25E+17;y;research
Bill_Ross11;5/25/2016 15:50;2;Scouting wheat for #disease and fusarium head blight #fungicide timing, made a friend! #ontag pic.twitter.com/XA5TgH8ZRw;#disease #fungicide #ontag;7.35E+17;y;self
JeanMichelAne;4/16/2016 23:04;0;Piriformospora indica reduces fusarium head blight disease severity and mycotoxin DON... http:// sco.lt/7DR17J pic.twitter.com/wv92QXKDdA;;7.21E+17;y;awareness
on_agfax;6/1/2016 4:02;0;Michigan Wheat: Managing Leaf Diseases and Fusarium Head Blight #agfax http:// buff.ly/1VtApxo pic.twitter.com/TI7fpI1h9B;#agfax;7.38E+17;y;awareness
Buckhout_Bull;3/20/2016 19:28;3;Biocontrol of Fusarium head blight takes hold at the PSU graduate exhibition! @agsciences pic.twitter.com/pnv9nYhsDc;;7.12E+17;y;ad
goyalvgvarun;4/26/2016 9:10;0;Metabolic Biomarker Panels of Response to Fusarium Head Blight Infection in Different Wheat Varieties http:// journals.plos.org/plosone/articl e?id=10.1371%2Fjournal.pone.0153642 …;;7.25E+17;y;research
KsWheatAlliance;5/11/2016 17:41;1;Intentionally causing scab on wheat in the KSU fusarium head blight nursery. pic.twitter.com/kXumGs81rf;;7.30E+17;y;research
farmingnews;5/29/2016 12:35;0;Farming : Wheat Growers Warned of Fusarium Head Blight http:// bit.ly/1XGj6ct;;7.37E+17;y;news
MartinChilvers1;5/27/2016 20:09;4;Managing #wheat leaf diseases and Fusarium head blight | MSU Extension @damon_lee_smith @AlbertTenuta http:// msue.anr.msu.edu/news/managing_ wheat_leaf_diseases_and_fusarium_head_blight_head_scab …;#wheat;7.36E+17;y;awareness
plantgenome;3/4/2016 17:31;1;Mapping #wheat Fusarium head blight resistance https:// goo.gl/qtbQlZ;#wheat;7.06E+17;y;research
dorianrourke;6/7/2016 17:46;0;New maps available to check your area for the risk of fusarium head blight ! https://www. gov.mb.ca/agriculture/cr ops/seasonal-reports/fusarium-head-blight-report.html …;;7.40E+17;y;awareness
on_agfax;4/20/2016 22:12;0;Kentucky Wheat: Fungicide Considerations for Fusarium Head Blight #agfax http:// buff.ly/1Sv1Ff0 pic.twitter.com/BpoonbpIUY;#agfax;7.23E+17;y;awareness
cropdoc2;4/8/2016 6:35;0;@WheatSingh @jhhopk @SufiSartaaj Some Fusarium head blight ?;;7.18E+17;y;self
GerminationMag;4/19/2016 19:04;0;Pam de Rocquigny begins the webinar with an overview of Fusarium Head Blight http:// ow.ly/4mRId2 #GerminationWebinar;#GerminationWebinar;7.22E+17;y;ad
Phytpath_Papers;4/20/2016 14:46;0;Conjunctively screening of biocontrol agents (BCAs) against fusarium root rot and fusarium head blight caused by… http:// dlvr.it/L62bnw;;7.23E+17;y;research
wheat_papers;4/22/2016 13:19;0;Metabolic Biomarker Panels of Response to Fusarium Head Blight Infection in Different Wheat… http:// dlvr.it/L6xk1N pic.twitter.com/Ffg8ans27x;;7.23E+17;y;research
BrewersAssoc;6/9/2016 22:35;2;Register now for the June 23 #BAPowerHour : Fusarium Head Blight in Malting Barley - http:// ow.ly/PQjy30163vc;#BAPowerHour;7.41E+17;y;ad
DatatechAg;5/3/2016 3:37;0;Fusarium head blight or scab of wheat (& other head diseases of winter wheat): Fusarium head blight or scab o... http:// bit.ly/1UtYa7S;;7.27E+17;y;awareness
crop_science;4/1/2016 17:07;0;Mapping 4 QTL associated with Type I Fusarium head blight resistance in winter #wheat ‘INW0412’ https:// goo.gl/Tg1hGU;#wheat;7.16E+17;y;research
RVDcrops;6/2/2016 15:27;2;Starting off the morning in the wheat plots near Greenleaf! Fusarium head blight showing up in susceptible varieties pic.twitter.com/y5BqX5Taxc;;7.38E+17;y;self
edelponte;3/24/2016 18:37;2;Collaboration in a research on the use of imidazolium salts for controlling #fusarium head blight in #wheat http://www. ncbi.nlm.nih.gov/pubmed/26972421;#fusarium #wheat;7.13E+17;y;others
SyngentaUS;6/11/2016 16:20;2;North Dakota winter #wheat fields may be at risk for Fusarium head blight http:// bit.ly/1rd2PPy @NDSUPlantSci;#wheat;7.42E+17;y;news
wheatgen_papers;5/20/2016 15:28;0;Toward a better understanding of the genomic region harboring Fusarium head blight … http:// dlvr.it/LMDWyj pic.twitter.com/BqY5CIxA6t;;7.34E+17;y;research
on_agfax;5/31/2016 23:08;0;Michigan Wheat: Managing Leaf Diseases and Fusarium Head Blight #agfax http:// buff.ly/1sZD0EB pic.twitter.com/99Lc3onbX9;#agfax;7.38E+17;y;awareness
BASFAgro;6/3/2016 15:20;5;Watch out for stripe rust & fusarium head blight in wheat to protect yields http:// on.basf.com/1Y6iflX #ag #farm pic.twitter.com/qLxdZfY6vB;#ag #farm;7.39E+17;y;awareness
midwestgrain;5/31/2016 23:08;0;Michigan Wheat: Managing Leaf Diseases and Fusarium Head Blight http:// buff.ly/1TVVj7b #agfax pic.twitter.com/UUMIm8g6bC;#agfax;7.38E+17;y;awareness
RootPapers;4/20/2016 12:42;0;Pubmed Conjunctively screening of biocontrol agents (BCAs) against fusarium root rot and fusarium head blight … http:// dlvr.it/L604lv;;7.23E+17;y;research
hacommoditynews;5/9/2016 20:09;0;High risk for fusarium head blight in Indiana http:// grainmarketnews.com/13505/high-ris k-for-fusarium-head-blight-in-indiana.html … pic.twitter.com/4eQ4gOiP0C;;7.30E+17;y;news
UIUCSmallGrains;6/20/2016 19:02;0;Comparing genomic selection and marker-assisted selection for Fusarium head blight resistance in wheat https://www. researchgate.net/publication/30 4026077_Comparing_genomic_selection_and_marker-assisted_selection_for_Fusarium_head_blight_resistance_in_wheat_Triticum_aestivum_L …;;7.45E+17;y;research
RandoxFood;5/10/2016 14:13;0;Watch for #fusarium head blight or scab of wheat. Read more: http:// bit.ly/1rPCTKD #mycotoxinscreening pic.twitter.com/dCqwOtaLNI;#fusarium #mycotoxinscreening;7.30E+17;y;awareness
midwestgrain;4/20/2016 14:16;0;Kentucky Wheat: Fungicide Considerations for Fusarium Head Blight http:// buff.ly/1rjrv9Y #agfax pic.twitter.com/EcZvb6y4Qb;#agfax;7.23E+17;y;awareness
hn_ideator;3/18/2016 10:00;0;Show HN: Ra — an antisatellite head blight , written in NATURAL.;;7.11E+17;n;
MWalfred;5/4/2016 17:43;0;Elevated risk of Fusarium Head Blight #FHB in #wheat Mid Atlantic #agchat #FarmDE https:// twitter.com/delmarplantdoc /status/727292567298121728 …;#FHB #wheat #agchat #FarmDE;7.28E+17;y;news
ProFarmingNews;6/11/2016 7:17;0;Fusarium Head Blight Risk Forecast http://www. farms.com/news/fusarium- head-blight-risk-forecast-108755.aspx … | https:// twibble.io;;7.42E+17;y;others
wheatgenome;4/11/2016 23:43;3;Contrasting Interaction Patterns of Wheat Blast and Fusarium Head Blight on Wheat Genotypes http:// apsjournals.apsnet.org/doi/abs/10.109 4/PHYTO-09-15-0202-R …;;7.20E+17;y;research
EGGillespie;5/27/2016 20:20;1;Fusarium head blight Timing is upon us! #ontag #essexcounty pic.twitter.com/YuVnyZJEaX;#ontag #essexcounty;7.36E+17;y;self
BrysonHaverkamp;5/25/2016 15:09;2;Some fusarium head blight showing up south of Andale, KS. pic.twitter.com/ugGhhHjBoZ;;7.35E+17;y;news
Agro_Tech_WI;6/3/2016 2:25;0;Fungicide application next week for fusarium head blight control near Luxemburg, WI. @damon_lee_smith pic.twitter.com/k2WzAygIZc;;7.39E+17;y;self
GlobalPlantGPC;3/19/2016 15:51;1;Interested in management of #Fusarium head blight ? Free 'Germination' webinar (aimed at #Canada ), 1pm ET, 19 April http:// issuesink.com/germinationweb inar/ …;#Fusarium #Canada;7.11E+17;y;ad
MoreFunz;5/17/2016 14:38;0;http:// botit.botany.wisc.edu/toms_fungi/aug 2005.html … - Head Blight of Wheat. The #morefunz page https:// morefunz.com/science/biolog y/flora-and-fauna/head-blight-of-wheat …;#morefunz;7.33E+17;n;
AgNewsDailey;4/28/2016 20:25;1;Wheat bloom sets time for fungicide control of scab.. Fusarium head blight causes “tombstone” kernels. http:// is.gd/HbfivY-;;7.26E+17;y;others
