username;date;retweets;text;hashtags;id;AgriTweet;Category
postframepro;5/21/2016 4:29;0;May 13 late blight update: No new detections of late blight have been made in the past week. Earlier this sea... http:// bit.ly/1TpLRp9;;7.33847E+17;y;Awareness
soilecologyUMan;6/4/2016 13:17;3;The potato disease that changed the world and its origins- Late Blight https://www. sciencedaily.com/releases/2016/ 06/160602083721.htm?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+sciencedaily%2Fplants_animals%2Fagriculture_and_food+%28Agriculture+and+Food+News+--+ScienceDaily%29 …;;7.39053E+17;y;Awareness
gkpalmer;5/26/2016 2:22;0;Late Blight Alert for Tomatoes and Potatoes http:// fb.me/74nGrd1sF;;7.35627E+17;y;Awareness
SyngentaUS;4/20/2016 1:10;0;Pest Alert: Late blight detected in SC tomatoes. http:// bit.ly/1S5CEoB #Agronomy;#Agronomy;7.22563E+17;y;news
appealingmm;6/3/2016 17:39;0;Late blight and zebra chip might cause issues in PNW this year.;;7.38757E+17;y;Awareness
FlorianJupe;4/27/2016 0:28;0;Accelerated cloning of a potato late blight -resistance gene using RenSeq and SMRT sequencing http:// go.nature.com/zQxwXC;;7.25089E+17;y;Research
ENDURE_ERG;5/6/2016 16:22;0;Proceedings of EuroBlight’s 15th workshop on early and late #blight in potato available http:// bit.ly/1We6E54;#blight;7.28591E+17;y;Research
AgBioWorld;4/26/2016 17:04;7;Cloning potato late blight resistance genes by new tech- could have helped Irish famine! https://www. sciencedaily.com/releases/2016/ 04/160425141544.htm … pic.twitter.com/NrfSTH3vzG;;7.24977E+17;y;Research
Scien_net;5/7/2016 13:21;0;#Scien Analysis of potato late blight epidemiology by simulation modeling http:// chilp.it/4ed3d3e;#Scien;7.28908E+17;y;Research
KathryneEverts;5/20/2016 2:02;2;Late blight in tomato is confirmed in a greenhouse in Garrett County. US23.;;7.33448E+17;y;news
RuggeroRespigo;4/25/2016 22:13;0;New technique accelerates isolation of potato late blight resistance genes https://www. sciencedaily.com/releases/2016/ 04/160425141544.htm … #ruggerorespigo;#ruggerorespigo;7.24693E+17;y;Research
