username;date;retweets;text;hashtags;id;Agritweet;category
USDAForeignAg;5/19/2016 20:55;3;Due to Coffee Leaf Rust , El Salvador’s #coffee production expected to decrease to 501,000 sixty-kg bags in 2015/16. http:// ow.ly/Vu2x300ntUU;#coffee;7.3337E+17;y;Awareness
WheatPete;5/26/2016 15:34;1;@DCHighlander @AlbertTenuta All oat rusts are different than wheat rust. Even leaf rust is not the same (altho both called leaf rust ).;;7.35827E+17;y;Awareness
the_rustbust;6/24/2016 7:33;0;RUST REPORT WA: Stem rust in oat volunteers west of Wagin & barley leaf rust South Stirling & Gnowellen. MONITOR! http:// goo.gl/Z9aK2Y;;7.46215E+17;y;news
PeterVanesse;3/30/2016 17:53;2;The Poplar Rust-Induced Secreted Protein (RISP) Inhibits the Growth of the Leaf Rust Pa... | @scoopit http:// sco.lt/51VDc1;;7.15205E+17;y;Research
FAOemergencies;6/17/2016 11:06;1;. @ItalyMFA funded project: Strengthening the #resilience of small prod affectd by coffee leaf rust #Guatemala #PH http:// bit.ly/28396z1;#resilience #Guatemala #PH;7.43731E+17;y;Research
KSUWheat;5/18/2016 16:53;2;Stripe rust still present, leaf rust increasing. OK #wheat disease update: https:// osunpk.com/2016/05/16/whe at-disease-update-14-may-2016/ … @OSU_NPK @KStateAgron @KansasWheat;#wheat;7.32947E+17;y;Awareness
AnneAMadden;4/5/2016 18:58;1;Everyday microbio lesson. Today, @Starbucks the #coffee leaf rust fungus. This pathogen has its own fungal diseases. pic.twitter.com/SmcTXuYt2v;#coffee;7.17396E+17;y;self
Sodbusterk;4/19/2016 2:36;0;@reinke_farms might be leaf rust , but have someone that knows look.....;;7.22222E+17;y;self
DAF_WA;6/3/2016 11:33;5;Barley leaf rust is being found in WA. Have you checked your barley crops? #PestFax http:// bit.ly/1UzOIy9 pic.twitter.com/I5q9F3CfHP;#PestFax;7.38665E+17;y;news
QAAFI;4/30/2016 2:02;2;Phenotyping adult plant resistance to #leaf #rust in wheat https:// youtu.be/D8uS_ZLAjzI @Adnanriaz7 @HickeyLab #agchatoz pic.twitter.com/jXKTacu3Pj;#leaf #rust #agchatoz;7.262E+17;y;Research
KanyukaKostya;5/24/2016 13:52;1;Yellow rust is the main wheat disease in Turkey, followed by leaf rust , Fusarium root crown rot and sunn pest.;;7.35076E+17;y;Awareness
ncipmc;4/4/2016 18:09;0;New post: Wheat leaf rust confirmed in Nebraska http://www. ncipmc.org/connection/?p= 1151 …;;7.17021E+17;y;news
UTPlantDoc;4/20/2016 18:09;13;"The forecast is for orange shoes"" in many lawns in the Mid-South due to leaf rust on cool season grasses. pic.twitter.com/6c6PyuQY9a""";;7.22819E+17;y;Awareness
WCoffeeResearch;3/21/2016 8:13;1;. @nationalcoffee Sadly, that's exactly how many jobs have been lost to coffee leaf rust in Central America since 2011.;;7.11813E+17;y;others
adamhsparks;6/12/2016 1:01;1;GRDC strategies for managing stem, stripe and leaf rust . https:// grdc.com.au/Resources/Fact sheets/2016/02/Wheat-Rust-Northern-Southern-and-Western-Regions …;;7.41767E+17;y;Awareness
WEDCrops;5/3/2016 18:03;3;Not even little barley can escape the leaf rust this year. Scout your #wheat #KSRE pic.twitter.com/7SEgWwY2su;#wheat #KSRE;7.27529E+17;y;Awareness
QAAFI;4/20/2016 8:12;2;Phenotyping adult plant resistance to #leaf #rust in wheat https:// youtu.be/D8uS_ZLAjzI @Adnanriaz7 @HickeyLab #agchatoz pic.twitter.com/WKlaIIXLno;#leaf #rust #agchatoz;7.22669E+17;y;Research
coloradowheat;3/10/2016 21:57;2;Kirk Broders from CSU provides an update on stripe and leaf rust , which has been found in Texas and Oklahoma. http:// ow.ly/ZjGlv;;7.08034E+17;y;news
Adam_Heskett;5/23/2016 18:03;1;Checking on a field of wheat & seen what appears to be leaf rust in downy brome but doubt it will impact yields much pic.twitter.com/XrnDMtExOE;;7.34777E+17;y;self
