username;date;retweets;text;hashtags;id;AgriTweet;Category
LucyGirll;4/10/2016 22:21;0;@Bugahabart @AsianJoeEvans so my guess is you'll have some groovy snow mold this spring for a job you should've done in the fall.;;7.19E+17;y;self
jpopko7;3/16/2016 1:06;0;@MSUTurf That's why I refer to it as Microdochium patch/pink snow mold /fusarium patch (for the gray beards)/whatever you wanna call it;;7.10E+17;y;others
SprayerDepot;4/27/2016 22:48;0;Snow Mold Fungicide Persistence…Part 2 http:// hubs.ly/H02Q06y0 by @uwpaul pic.twitter.com/gXMSahcSqB;;7.25E+17;y;others
BurtFuji;6/24/2016 13:30;0;Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// dlvr.it/LdtwJj pic.twitter.com/wqsvcXSPTA;;7.46E+17;y;Awareness
BriHuether;3/29/2016 18:36;0;Apparently my allergies are back. If it could rain, and clean up all the snow mold , that would be great. Any day now, I'd be happy for rain.;;7.15E+17;n;
North_Outdoors;3/12/2016 0:19;0;Ever heard of snow mold ? http://www. northlandoutdoors.com/2016/03/11/sno w-mold-pops-up-right-after-melting-causing-allergies/ … #NorthlandOutdoors pic.twitter.com/e3NO9nhdMa;#NorthlandOutdoors;7.08E+17;y;Awareness
marydavelindsay;3/9/2016 3:33;0;Asthma!! Snow mold ? https:// twitter.com/lawyer1mom/sta tus/707363741717762048 …;;7.07E+17;n;
weedmansurrey;3/15/2016 16:45;1;This is the prime season for snow mold ! Here's some tips to help you identify and treat it: https:// youtu.be/XIwbv1uYA_I #Surrey;#Surrey;7.10E+17;y;Awareness
WSAW;3/14/2016 18:54;0;ICYMI: Snow mold in our area. Dr. Heather Schlesser explained on NewsChannel 7 at Noon what it is and what you... http:// fb.me/7fr1Ij4v5;;7.09E+17;y;Awareness
Inspect4molD;3/9/2016 19:38;0;Snow mold pops up right after melting, causing allergies http:// ow.ly/ZgzL1;;7.08E+17;y;Awareness
InGaylord;3/29/2016 12:57;0;Snow mold field day at Treetops Golf Course: We will plan to meet at 10 a.m. at the pro shop at the Treetops/S... http:// bit.ly/22Kdi6z;;7.15E+17;y;others
CielOnTap;4/8/2016 22:27;0;Got the sniffles? It could be due to snow mold http://www. theweathernetwork.com/news/articles/ feeling-sniffly-it-could-be-due-to-snow-mold/47129 …;;7.19E+17;y;Awareness
leahmcbee;4/15/2016 21:18;0;@TrinaMLee Thanks, you too! It's all the rain were having.. Much like your snow mold ..;;7.21E+17;y;others
CosbyChicago;6/24/2016 13:45;0;Spider Webs, Not Snow Mold , Covered Chicago's Lawns Thursday — Here's Why http:// ift.tt/293rxe0;;7.46E+17;y;Awareness
