username;date;retweets;text;hashtags;id
adaltonmgcc;2016-06-29 23:19;0;"@SusanShockey when I spotted anthracnose I did.";;"748264613364514817"
BOULLETP;2016-06-29 22:51;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/OIk2nP6CvL";;"748257600643473408"
mcphersoncomm;2016-06-29 19:16;0;"Enlisting an arsenal against anthracnose - GCI - Golf Course Industry http://www. golfcourseindustry.com/article/case-s tudy-anthracnose/#.V3QCTRDym6U.twitter …";#;"748203377620836352"
BOULLETP;2016-06-29 18:12;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/qLGuDfrrH3";;"748187399063277568"
maria_turfdr;2016-06-29 17:37;0;"@asianturfgrass do you see much basal anthracnose on seashore paspalum greens in your travels?";;"748178634410627072"
HuskerHort;2016-06-29 16:02;3;"Anthracnose sounds like more of a cuss word than a fungi. Find out more about this in the #NebExt HortUpdate http:// hortupdate.unl.edu/update06202016";#NebExt;"748154718967463936"
BOULLETP;2016-06-29 12:44;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/RenLuT0Amo";;"748104897292275712"
BOULLETP;2016-06-29 06:27;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/h7UOLENGu4";;"748009979626528768"
FlanoAussie;2016-06-29 06:16;0;"@asianturfgrass mate have you ever heard of anthracnose basal root rot of paspalum in Asia? Just got a diagnosis of that here in Hawaii.";;"748007091265208329"
BOULLETP;2016-06-29 04:43;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/BEmbtyIpQl";;"747983797627518976"
BOULLETP;2016-06-29 01:21;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/rNFUxVqPBJ";;"747932970950983680"
BOULLETP;2016-06-28 22:18;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/kLChfASLWz";;"747886921586712577"
BOULLETP;2016-06-28 18:19;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/uQIeoNKgp6";;"747826775900692480"
BOULLETP;2016-06-28 15:46;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/yfN48lBE9q";;"747788265441329152"
AdvancedTurf;2016-06-28 15:14;1;"Manage anthracnose with this #TurfTipTuesday pic.twitter.com/iHAdPjHnPO";#TurfTipTuesday;"747780205146742788"
Scien_net;2016-06-28 14:46;0;"#Scien Suppression of anthracnose of soybeans by calcium http:// dlvr.it/LgV2Gn";#Scien;"747773106291245056"
BOULLETP;2016-06-28 13:11;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/KhOVuA2Uln";;"747749280883048448"
graham_pickin;2016-06-28 10:52;0;"@SouthStaffsgc on defcon 10 anthracnose watch";;"747714321833164800"
BOULLETP;2016-06-28 10:35;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/qsuDo5VNoH";;"747710036193984512"
BOULLETP;2016-06-28 07:24;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/tpxa1Ahv3O";;"747661933206183936"
SacValleyIPM;2016-06-28 07:21;1;"New issue of UCCE #SacValley #almond news available. Info on anthracnose , herbicide damage, upcoming events & more! http:// bit.ly/28YIp4K";#SacValley #almond;"747661225501278208"
BOULLETP;2016-06-28 03:58;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/4Oo1KqPIYm";;"747610096746831873"
BOULLETP;2016-06-28 01:18;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/s9tH29n7F6";;"747569850416041985"
BOULLETP;2016-06-27 22:53;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/FzkxUQ1rFm";;"747533332544692228"
BOULLETP;2016-06-27 20:09;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/lbXiGoqMRk";;"747492074279272448"
BOULLETP;2016-06-27 16:25;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/Ie2Inc51lW";;"747435741354008576"
agfaxwest;2016-06-27 15:09;0;"California Almonds: Beware of Anthracnose ! #agfax http:// buff.ly/28UgQxu pic.twitter.com/cmUt8LFQhb";#agfax;"747416536701370368"
finodexproject;2016-06-27 13:46;1;"@goodfruitgrower No more problems with Anthracnose of #grape with a help of @eViti_en #opendata Read more at: http:// ow.ly/YJNQk";#grape #opendata;"747395727983271936"
BOULLETP;2016-06-27 11:05;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/W2GiJuPUAn";;"747355210482343936"
BOULLETP;2016-06-27 06:25;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/HLPSrd3uAq";;"747284727879467008"
matthewbywater;2016-06-27 05:12;4;"@mattoxgolf NZ Supers talk on controlling anthracnose with soil surfactants @Aquatrols pic.twitter.com/EroNhqQyyV";;"747266274049163265"
BOULLETP;2016-06-27 02:35;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/7CeJMuN5Kv";;"747226839412785152"
Rothturf;2016-06-27 02:33;0;"@TurfDiseases anthracnose on top left pic.twitter.com/s3FDH8ikgV";;"747226241351229440"
BOULLETP;2016-06-26 23:53;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/smjTqe8jAF";;"747186062112526338"
adaltonmgcc;2016-06-26 20:49;1;"Poa in fairway just getting destroyed by anthracnose . You can see all kinds of acervuli on dead plants. pic.twitter.com/xTyS6oqGq0";;"747139764474810368"
BOULLETP;2016-06-26 20:38;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/dSld2yCPt6";;"747136984154505216"
BOULLETP;2016-06-26 16:45;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/dbMP5cVlxl";;"747078383641763840"
agfaxwest;2016-06-26 15:09;0;"California Almonds: Beware of Anthracnose ! #agfax http:// buff.ly/28UgQxu pic.twitter.com/FEfvTRmr4o";#agfax;"747054065956294656"
BOULLETP;2016-06-26 13:01;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/fTMrym3flo";;"747021973247639552"
BOULLETP;2016-06-26 09:13;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/UN9JYFUIxk";;"746964602869669888"
BOULLETP;2016-06-26 05:25;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/kvzlfow1Cc";;"746907248463593473"
BOULLETP;2016-06-26 02:15;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/vuGJRDuGuj";;"746859434165567493"
BOULLETP;2016-06-25 22:40;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/ecpCoIHGO3";;"746805369935134720"
agfaxwest;2016-06-25 22:35;0;"California Almonds: Beware of Anthracnose ! http:// buff.ly/28UgQxu #agfax pic.twitter.com/wGCI2l4IGa";#agfax;"746803937018265600"
adaltonmgcc;2016-06-25 20:37;1;"Nursery green poa getting smacked around by pgrs and anthracnose . Only 5 greens will get treated and this ain't one. pic.twitter.com/07e2xz9rEg";;"746774343464665088"
adaltonmgcc;2016-06-25 20:26;5;"Anthracnose popping up all over. On greens I let it go for a bit and then treat. Should explode in the 24 hours. pic.twitter.com/YnbhsNefuV";;"746771549731028992"
jdwachter;2016-06-25 19:16;0;"@kkangilly spots no rings. Does not have the irregular look of anthracnose . Someone did mention abiotic like symptoms from black layer.";;"746753837029961729"
BOULLETP;2016-06-25 19:05;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/fJVU3OKrah";;"746751215241953280"
isaacbreuer;2016-06-25 16:12;0;"@jdwachter I have a little anthracnose right now but it's mainly on my poa.";;"746707757361938432"
Texasagronomo;2016-06-25 15:54;3;"#anthracnose in sorghum. Not all hybrids tolerant to it; often found in fields that were wet early. Lower test wt. pic.twitter.com/P8DbSTme8f";#anthracnose;"746703217384296448"
BOULLETP;2016-06-25 15:20;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/X5NX8U4Irc";;"746694599582810113"
adaltonmgcc;2016-06-25 13:23;0;"Pretty good foliar anthracnose going on my 15th green. Will have to spray Sunday night with a buffered tank of TMeth pic.twitter.com/PvX4VWcvl7";;"746665048962142208"
BOULLETP;2016-06-25 12:51;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/FNDJH5zji3";;"746657069378461696"
BOULLETP;2016-06-25 10:09;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/IiCKsMa7nq";;"746616303344099328"
ssukno;2016-06-25 08:31;2;"Colletotrichum species associated with chili anthracnose in Australia va - Plant Pathology ... | @scoopit http:// sco.lt/8iv7S5";;"746591634780000256"
BOULLETP;2016-06-25 07:00;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/UNi0JfwVv1";;"746568775621840896"
BOULLETP;2016-06-25 04:10;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/BdZmo5PmPG";;"746525990235541506"
BOULLETP;2016-06-25 01:34;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/sZCkAfCKpy";;"746486690018168837"
BOULLETP;2016-06-24 23:16;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/Mtynkw2JM9";;"746451978025304065"
BOULLETP;2016-06-24 20:39;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/ua3rjbiYt1";;"746412464435240960"
BOULLETP;2016-06-24 17:19;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/ubXsLW4ix9";;"746362140693528576"
TurfgrassDS;2016-06-24 13:47;4;"Spectacular $ spot and anthracnose pressure in trials. #realworldresesearch pic.twitter.com/3EDDtHok0d";#realworldresesearch;"746308705516396544"
BOULLETP;2016-06-24 13:30;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/J5Ey8tJ3Lm";;"746304534608240640"
Stojanb17;2016-06-24 12:18;0;"@anthracnose @GolfAssnProblem Wow what an idiot...lol! How does a guy like this get hired to begin with!";;"746286475810070528"
BOULLETP;2016-06-24 10:43;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/arc5KxNwOk";;"746262532705357825"
BOULLETP;2016-06-24 08:39;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/S1sNTuMNaG";;"746231261845323776"
BOULLETP;2016-06-24 04:15;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/yKomqH0Pou";;"746164840515932160"
ForsterGlen;2016-06-24 03:59;0;"@gustgd @AgronomistSPG continue monitoring throughout flowering for anthracnose and sclerotinia. Preventative on a good crop always key.";;"746160716730630144"
anthracnose;2016-06-24 02:59;0;"@summerleagreens great work guys. Long week but always a solution";;"746145813475241984"
BOULLETP;2016-06-24 01:20;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/mz30FEQ53f";;"746120808989364224"
anthracnose;2016-06-24 01:16;0;"@mixmastermike tks for sharing. Brought back some fine memories:))";;"746119720496148481"
adaltonmgcc;2016-06-23 23:19;1;"Seeing Dollar Spot and Anthracnose starting in check plot Bent is starting to look a bit weak too pic.twitter.com/Bdr2GE9zIC";;"746090351421702144"
BOULLETP;2016-06-23 22:31;0;"WEATHER WARNING turf disease Anthracnose pic.twitter.com/P6HstrjGce";;"746078261537554432"
