username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AgrocalidadEC;2015-08-14 23:55;2;0;"Todos contra el ingreso del Hongo Fusarium R4T al país, comunícate al 1800-246700 AGROCALIDAD #EcuadorEsCalidad pic.twitter.com/yeYtjKv2Jc";;;#EcuadorEsCalidad;"632309565250478081";https://twitter.com/AgrocalidadEC/status/632309565250478081
AgrocalidadEC;2015-08-14 19:24;2;0;"Todos contra el ingreso del Hongo Fusarium R4T al país, comunícate al 1800-246700 AGROCALIDAD #EcuadorEsCalidad pic.twitter.com/tXxmXZUlst";;;#EcuadorEsCalidad;"632241380392312832";https://twitter.com/AgrocalidadEC/status/632241380392312832
ChuckWeinknecht;2015-08-14 18:10;0;0;"@rgstone1 maybe just a fusarium area now?";;@rgstone1;;"632222761855774720";https://twitter.com/ChuckWeinknecht/status/632222761855774720
ac_nim;2015-08-14 16:37;0;0;"Fusarium spp. not pea #microbiology #laboratory #fungi #mold https:// instagram.com/p/6Xgz5_Nkzg/";;;#microbiology #laboratory #fungi #mold;"632199278337871872";https://twitter.com/ac_nim/status/632199278337871872
wheat_papers;2015-08-14 14:46;0;0;"Fusarium dactylidis sp. nov., a novel nivalenol toxin-producing species sister to F.… http:// dlvr.it/BrX046 pic.twitter.com/LlEgI6u7lL";;;;"632171371246694400";https://twitter.com/wheat_papers/status/632171371246694400
wingnut444;2015-08-14 13:40;0;2;"#thrashingwheat 15.2 pro 13% moisture no fusarium . #cardale . pic.twitter.com/yemJYgZ70A";;;#thrashingwheat #cardale;"632154946163507200";https://twitter.com/wingnut444/status/632154946163507200
TascierTarim;2015-08-14 12:42;0;1;"MISIR BİTKİSİNDE " FUSARİUM SPP." ZARARI. pic.twitter.com/RpIDEDiZmf";;;;"632140182268047360";https://twitter.com/TascierTarim/status/632140182268047360
rgstone1;2015-08-14 04:09;1;5;"Flat and fusarium good times! pic.twitter.com/LWs9Cknj9P";;;;"632011031389147136";https://twitter.com/rgstone1/status/632011031389147136
UNL_CropWatch;2015-08-14 02:39;0;0;"The pluses & minuses of using Fusarium -infected scabby #wheat as #covercrop seed. http:// bit.ly/1h3ybnK pic.twitter.com/UdtgwIWHul";;;#wheat #covercrop;"631988359049515008";https://twitter.com/UNL_CropWatch/status/631988359049515008
captncrunch_fan;2015-08-14 02:03;0;0;"More corn acres could hike fusarium in cereals - Western Producer (subscription) http:// dragplus.com/post/id/316426 78 …";;;;"631979326196568066";https://twitter.com/captncrunch_fan/status/631979326196568066
BASFAgSolutions;2015-08-13 21:23;1;2;"What is the economic impact of #Fusarium in Alberta? @AgAnnex explains here: http:// agsol.ca/1gEmIKw #westcdnag";;@AgAnnex;#Fusarium #westcdnag;"631908938456387588";https://twitter.com/BASFAgSolutions/status/631908938456387588
coyanarte;2015-08-13 18:50;0;1;"Las abundantes lluvias, calor y humedad, atentan contra la sanidad de cultivos de Invierno. Desarrollo de fusarium y roya. Chacras anegadas.";;;;"631870556929949696";https://twitter.com/coyanarte/status/631870556929949696
wheat_papers;2015-08-13 18:23;0;0;"Benzene derivatives produced by Fusarium graminearum - Short communication. http:// dlvr.it/Br3lBP pic.twitter.com/gu7ChWsTGo";;;;"631863677642117121";https://twitter.com/wheat_papers/status/631863677642117121
AgrocalidadEC;2015-08-13 15:51;2;3;"Todos contra el ingreso del Hongo Fusarium R4T al país, comunícate al 1800-246700 #EcuadorEsCalidad pic.twitter.com/O3STWspLlA";;;#EcuadorEsCalidad;"631825404597288960";https://twitter.com/AgrocalidadEC/status/631825404597288960
Richardquique;2015-08-12 22:25;0;0;"Por favor Fusarium no seas nena";;;;"631562227657510912";https://twitter.com/Richardquique/status/631562227657510912
UNL_CropWatch;2015-08-12 21:11;4;1;"A cautionary message on using Fusarium -infected scabby #wheat as #covercrop seed. http:// bit.ly/1h3ybnK pic.twitter.com/klI4ONNt6G";;;#wheat #covercrop;"631543487519834112";https://twitter.com/UNL_CropWatch/status/631543487519834112
AgrocalidadEC;2015-08-12 16:25;0;0;"AGROCALIDAD capacita sobre prácticas para prevenir el ingreso de Fusarium Raza 4 Tropical al país #EcuadorEsCalidad pic.twitter.com/gxRDUuyAEa";;;#EcuadorEsCalidad;"631471676413345792";https://twitter.com/AgrocalidadEC/status/631471676413345792
SheaMillerLab;2015-08-12 14:48;0;0;"a chance to see Fusarium in the field, instead of just a growth cabinet.... pic.twitter.com/wbaXu4Ceat";;;;"631447099989696512";https://twitter.com/SheaMillerLab/status/631447099989696512
ZIPALAC;2015-08-12 07:09;0;0;"Evite la Fusarium Raza 4 Tropical en 10 pasos http://www. contextoganadero.com/agricultura/ev ite-la-fusarium-raza-4-tropical-en-10-pasos …";;;;"631331773251719168";https://twitter.com/ZIPALAC/status/631331773251719168
wheat_papers;2015-08-12 03:41;0;0;"Screening and monitoring zearalenone-producing Fusarium species by PCR and zearalenone by… http:// dlvr.it/Bq5knl pic.twitter.com/2z2EGxvNDv";;;;"631279324289564677";https://twitter.com/wheat_papers/status/631279324289564677
wheat_papers;2015-08-12 00:31;0;0;"Chromosome engineering, mapping, and transferring of resistance to Fusarium head blight… http:// dlvr.it/Bq2jcZ pic.twitter.com/LtjVucd546";;;;"631231408514576384";https://twitter.com/wheat_papers/status/631231408514576384
TVORadio;2015-08-11 22:00;2;0;"Ayúdanos a prevenir el ingreso del Hongo Fusarium R4T al país comunícate a AGROCALIDAD al 1800-246700 @AgrocalidadEC pic.twitter.com/bEcNbP2ay2";;@AgrocalidadEC;;"631193445290225664";https://twitter.com/TVORadio/status/631193445290225664
camibgraziano;2015-08-11 18:25;0;0;"Vuelve la época de Sociales y del temible hongo Fusarium .";;;;"631139349762043905";https://twitter.com/camibgraziano/status/631139349762043905
FarmerMcRae;2015-08-11 17:48;0;4;"That is why fusarium is called tombstone pic.twitter.com/TktVV1yocg";;;;"631129950465101824";https://twitter.com/FarmerMcRae/status/631129950465101824
yeast_papers;2015-08-11 17:38;0;0;"Pubmed: FgCDC14 regulates cytokinesis, morphogenesis, and pathogenesis in Fusarium graminearum. http:// dlvr.it/BpttWw";;;;"631127494339354624";https://twitter.com/yeast_papers/status/631127494339354624
RootPapers;2015-08-11 13:32;0;0;"Pubmed Morphological and molecular characterization of Fusarium spp pathogenic to pecan tree in Brazil. http:// dlvr.it/BpmRXn";;;;"631065555512897536";https://twitter.com/RootPapers/status/631065555512897536
