username;date;retweets;text;hashtags;id
Sje18;2016-06-29 22:17;3;"Found my first Northern Corn Leaf Blight lesion of the year north of new hampton. Cooler weather could flare up. pic.twitter.com/3XMCl6Dvyf";;"748249088706097152"
muffagservices;2016-06-29 21:07;0;"Northern Corn leaf blight approaching thresholds in N Iowa 50% showing signs in some areas Prepare to spay Quilt XL! pic.twitter.com/MDcf9Komhy";;"748231454300090369"
KeyCooperative;2016-06-29 18:05;2;"Hands on look at disease showing up in corn, gray leaf spot & northern corn leaf blight pic.twitter.com/OFlSDuTyQb";;"748185689414590465"
SecuritySeed;2016-06-29 16:26;5;"Northern Corn Leaf Blight & Grey Leaf Spot are present on #corn at the #wku farm in Bowling Green, KY. pic.twitter.com/8B5gDiQQ1V";#corn #wku;"748160794450329600"
sharkinthepark;2016-06-29 13:28;0;"@ChrisPawelski @sharkinthepark is leaf blight like an orange powdery fungus thing on leaves";;"748115798862995457"
ChrisPawelski;2016-06-29 12:42;0;"@sharkinthepark Could be a form of leaf blight .";;"748104289319534593"
Scien_net;2016-06-29 07:06;0;"#Scien Stomatal index and size of stomatal opening of rice cultivars varying in reaction to bacterial leaf blight http:// dlvr.it/LgmpgG";#Scien;"748019720117420032"
PioneerSDakota;2016-06-29 02:50;4;"Starting to see symptoms of Northern Corn Leaf Blight in central SD. Learn more at: http:// phbn.ws/6019Bvzjl #Scout16 pic.twitter.com/Kb60jQV0UA";#Scout16;"747955247729999872"
agronomyscott;2016-06-29 00:27;0;"@damon_lee_smith Lots of Northern Corn Leaf Blight popping up in SW WI! We positively ID'ed in Iowa, Grant, Green & Dane counties this wk.";;"747919338653388801"
jmkolkman;2016-06-28 07:14;0;"Inoculating G2F hybrid trial with Northern Leaf Blight . The season begins! http://www. genomes2fields.org / #TheCornInCornell pic.twitter.com/O9r2fHjUEr";#TheCornInCornell;"747659370763325441"
Invasion_Watch;2016-06-28 06:56;0;"Invasion! northern corn leaf blight in Mitchell County, Georgia: http:// bit.ly/293ImHS #invasivespecies";#invasivespecies;"747654802440658944"
Invasion_Watch;2016-06-25 04:44;0;"Invasion! Southern corn leaf blight and stalk rot in Grady County, Georgia: http:// bit.ly/296ZGtz #invasivespecies";#invasivespecies;"746534387685036033"
Invasion_Watch;2016-06-25 04:44;0;"Invasion! northern corn leaf blight in Grady County, Georgia: http:// bit.ly/28Xbwbu #invasivespecies";#invasivespecies;"746534386129002499"
skporter;2016-06-24 12:47;1;"This is the closest that I can find to Northern #corn leaf blight . Too dry? Will see North after rain. pic.twitter.com/AEFJ25jHHB";#corn;"746293725677162496"
2blades;2016-06-24 01:14;1;"Coconut trees hit by leaf blight disease - The Hindu http://www. thehindu.com/news/national/ tamil-nadu/article8695857.ece …";;"746119253120585728"
ISUANR;2016-06-23 21:45;1;"Seeing northern #corn leaf blight ? http:// ow.ly/QjK4301fuAq #ISUCrops #ICMBlog";#corn #ISUCrops #ICMBlog;"746066687137583104"
Bayer4CropsUS;2016-06-23 20:38;9;"What to do if southern corn leaf blight strikes: http:// bit.ly/1LD3MVF #cropprotection #cropscouting pic.twitter.com/zkjN26xSGQ";#cropprotection #cropscouting;"746049691817631744"
wadeoehmichen;2016-06-23 03:09;2;"Found some more northern corn leaf blight today - Green Lake, Calumet and Waushara counties. #planthealth16 pic.twitter.com/y71OVCNQCD";#planthealth16;"745785758578057216"
delongcompany;2016-06-23 00:27;1;"Our latest agronomy update on Northern Corn Leaf Blight in Wisconsin: http://www. delongcompany.com/csty-northern- corn-leaf-blight-confirmed-southern-wisconsin-102-1633741 …";;"745744934364286976"
