username;date;retweets;text;hashtags;id
baldpathologist;2016-06-29 23:17;5;"Alternaria and/or Curvularia leaf spot of corn are minor diseases. Don't confuse with eyespot @ppp_trey #mscrops pic.twitter.com/1TPuvoNQMG";#mscrops;"748264056465793024"
NationalLedger;2016-06-29 20:02;0;"Garden Tip and Tricks for Tomato Plant Leaf Spot Diseases http:// bit.ly/294TuGH";;"748215074041528321"
viviannastevens;2016-06-29 19:18;0;"Does this look like angular leaf spot on my squashes? http:// ift.tt/294JB8o #Gardening";#Gardening;"748203928894988293"
AgWillVF;2016-06-29 18:22;0;"@CCCAgronomy i hear lots of disease issues in french crops including white leaf spot in OSR, rough conditions since mid spring";;"748189940773715968"
brownfield;2016-06-29 18:15;0;"DuPont Weekly Crop Health Update: Keeping a close eye on frogeye leaf spot (Indiana 6/27/16) http:// ow.ly/UW9w301J2t8 #crophealth16";#crophealth16;"748188153245212672"
KeyCooperative;2016-06-29 18:05;2;"Hands on look at disease showing up in corn, gray leaf spot & northern corn leaf blight pic.twitter.com/OFlSDuTyQb";;"748185689414590465"
UTAgResearch;2016-06-29 17:55;2;"Researchers at WTREC are working to develop Frogeye leaf spot resistant #soybeans . http:// ow.ly/lFSZ301LlhM @utkplsc @UTIAg @TennSoybean";#soybeans;"748183097133371392"
BASFAgProducts;2016-06-29 17:32;0;"Are you prepared for alternaria leaf spot ? Merivon® fungicide can help prevent outbreaks.";;"748177248675500032"
SyngentaUS;2016-06-29 17:15;0;"Be prepared to manage Cercospora leaf spot in #sugarbeets : http:// bit.ly/28YKTzC #Agronomy pic.twitter.com/0lXrx8DHgT";#sugarbeets #Agronomy;"748173072314802176"
SecuritySeed;2016-06-29 16:26;5;"Northern Corn Leaf Blight & Grey Leaf Spot are present on #corn at the #wku farm in Bowling Green, KY. pic.twitter.com/8B5gDiQQ1V";#corn #wku;"748160794450329600"
ChadwithBecks;2016-06-29 16:12;3;"Suspected Phyllosticta leaf spot in competitor #soybeans in NW Iroquois Co, IL. #disease #agronomy pic.twitter.com/Eppzk9YQGo";#soybeans #disease #agronomy;"748157149939900416"
Texasagronomo;2016-06-29 03:25;1;"Zonate leaf spot in #grainsorghum . Can be an issue in continuous sorghum in wet years. Crop health needed for yield! pic.twitter.com/RhUfQqmxTW";#grainsorghum;"747964270306983936"
bapennstater;2016-06-29 00:49;0;"@Keith_Lyall @turfpathology @TurfDiseases lesion looks purple...consistent with leaf spot";;"747924811200987136"
SeminisSeeds;2016-06-28 20:52;4;"Learn how to protect your pepper plants from all 10 races of bacterial leaf spot disease: http:// semin.is/291zuQE pic.twitter.com/Xcb9wW2aoR";;"747865246417682432"
turfpathology;2016-06-28 19:42;0;"@Keith_Lyall @TurfDiseases with temps around 12-13C I'm leaning towards leaf spot if no foliar mycelium is showing up";;"747847555434807296"
muzeaman;2016-06-28 15:25;0;"Fungicide management for gray leaf spot in corn KSU https:// webapp.agron.ksu.edu/agr_social/eu_ article.throck?article_id=1004 …";;"747782891464077313"
agriprof;2016-06-28 13:22;0;"@BoyesTim @HorburyRick @ZimStead Looks just like White Leaf Spot . It'll disappear with dry weather, but fungicides do work on it.";;"747751953338273792"
DAF_WA;2016-06-28 10:00;11;"White leaf spot in canola reported in Kellerberrin #PestFax http:// bit.ly/297oMfN pic.twitter.com/5XUZqozuGm";#PestFax;"747701112602566660"
UNLturf;2016-06-28 00:52;9;"Amazing how just an app of N in late May prevented the occurrence of gray leaf spot on the PRYE. Lean plots look bad pic.twitter.com/M1SMdTOhoG";;"747563351824183296"
Dr_Lee_Berndt;2016-06-27 22:32;0;"Leaf spot mycelia on TifEagle #turfdisease pic.twitter.com/PgqZdkjbIL";#turfdisease;"747528143703937024"
NoTillFarmr;2016-06-27 22:06;2;"The time to make management decisions for gray leaf spot is quickly approaching. http:// ow.ly/7yr6301GTXT";;"747521504557031425"
