username;date;retweets;text;hashtags;id
wheatgen_papers;2016-06-30 01:15;0;"Characterizing and mapping resistance in synthetic-derived wheat to Rhizoctonia root rot in… http:// dlvr.it/Lh6jlF pic.twitter.com/DQhluvheX0";;"748293755069837312"
picklejinx;2016-06-29 21:00;0;""Mamillaria plumosa... sensitive to root rot caused by over watering". Sigh. Thanks, @HomeDepotCanada pic.twitter.com/EeZWwjzRwe";;"748229701328568320"
FlatBud;2016-06-29 19:00;0;"Water Mold Root Rot https:// flatbud.com/disease/water- mold-root-rot … #watermoldrootrot pic.twitter.com/969kHYqetd";#watermoldrootrot;"748199394323894272"
karentozzi;2016-06-29 17:07;0;"The tall pine I used to sit in has root rot , Dick.";;"748171051549483008"
DRSnellNursery;2016-06-29 16:00;0;"Empty plant saucers of excess water to avoid root rot and fungus gnats.";;"748154074932011010"
pulsechickAB;2016-06-29 15:50;0;"@FarmRanger82 @AgronomistSPG @SaskPulse Could be root rot but dark coloration at base is also normal. Either way spray won't help";;"748151756878557185"
LeftFieldCR;2016-06-29 14:31;7;"5.8 mln acres of lentils. Gonna offset a lot of root rot .";;"748131902838579200"
GrowAquaponics;2016-06-29 07:24;0;"Hydroponic systems are prone to disease called "pythium" or root rot . This disease is virtually non-existant in aquaponics.";;"748024231884103680"
FlanoAussie;2016-06-29 06:16;0;"@asianturfgrass mate have you ever heard of anthracnose basal root rot of paspalum in Asia? Just got a diagnosis of that here in Hawaii.";;"748007091265208329"
pangmeli;2016-06-29 05:59;1;"if your loved one gets root rot so you plant one of its cuttings in fresh soil and that cutting grows a loved one, is that your loved one";;"748003044642660352"
_adj_noun;2016-06-29 04:11;0;"thirsty black root rot fungus";;"747975779439484929"
FredPond;2016-06-29 02:15;0;"Some classic mid season Phytophthora Root Rot for my friends in the "I" States. Just add 4" of water, 100F... http:// fb.me/3pxzGWUbH";;"747946435124035584"
Scien_net;2016-06-29 00:21;0;"#Scien Studies on temperature relations and chemical control of wilt and root rot of pea http:// dlvr.it/LggBpX";#Scien;"747917786815430656"
AgronomistSPG;2016-06-28 23:45;0;"@SaskPulse @pulsechickAB @FarmRanger82 Soil pathogens such as root rot (s) maybe? Fusarium can cause dark lesions. Was seed Treated?";;"747908809310375936"
Arborholic;2016-06-28 20:37;2;"Cotton root rot is an issue here and I love retama (Parkinsonia aculeata) for those sites. #treechat https:// twitter.com/CoronaTools/st atus/747861144757407745 …";#treechat;"747861565550952448"
PFLABC;2016-06-28 20:05;0;"How to Manage Douglas-fir Bark Beetle and Root Rot : http:// bit.ly/1HcOqnk #woodlot85 #forestry pic.twitter.com/TJw4ITQTxg";#woodlot85 #forestry;"747853361140072450"
DINOTHING;2016-06-28 18:42;0;"@koala_hugs well the directions for watering it were too much and it was getting root rot , but I didn't realize until like two weeks ago";;"747832678632800257"
KernsJim;2016-06-28 14:05;2;"@JerryKershasky Don't see much root rot control when it's not watered in. Nice effects in the foliage, but limited efficacy for root rot";;"747762821115445248"
JerryKershasky;2016-06-28 12:14;0;"@KernsJim Root Rot control Signature Extra watered in, contrary approach to Signature not watered in?";;"747734907217121283"
JoanneSchoff;2016-06-28 06:28;0;"@strohschein_rob @skellerfarms widespread over the field. Very little history of peas there. Never seen root rot that bad.";;"747647837941403648"
KernsJim;2016-06-28 01:21;0;"@stivescc_vcsup @mcnerney_sean This was bent, going after Pythium root rot . Because of density of UD, I think watering in everything is ok";;"747570567079952384"
ALLBrettA;2016-06-28 00:22;0;"@ZippyJans aphenomyces root rot";;"747555694073634817"
KernsJim;2016-06-27 23:55;35;"Signature Xtra watered in. Foliar effects not lost while gaining excellent root rot control. App was 5 days ago! pic.twitter.com/8qzjtizTbG";;"747548889796878337"
nicksekulic;2016-06-27 21:45;0;"Peas look good for the big rains we have had. Yellowing in low areas and from root rot but still looking good pic.twitter.com/ITeahjEfb1";;"747516196388384768"
gamingking1616;2016-06-27 17:34;0;"@PVasiljevic @TheBlueHeretic looks like armillaria root rot";;"747452973903712256"
AgronomistSPG;2016-06-27 16:20;2;"Field of pea or lentil not looking so good... root rot could be the issue. http:// ow.ly/zvUH301BAjI";;"747434417895923712"
BestHydro101;2016-06-26 22:50;0;"How to Stop and Prevent Root Rot http://www. besthydroponics101.com/how-to-stop-an d-prevent-root-rot …";;"747170135639621632"
HydroponicsEasy;2016-06-26 18:26;0;"Advantages of passive #hydroponics are the reduction of root rot and the additional ambient humidity provided through evaporations.";#hydroponics;"747103687445725185"
1sglopez;2016-06-26 17:19;0;"I liked a @YouTube video http:// youtu.be/ta81qB4e7Is?a Aquaponic Dont's: Bio Filtration, Dissolved Oxygen, Root Rot , and Water Flow";;"747086905880231937"
AW_ARobinson;2016-06-25 21:43;0;"@UltingWick yes they can get root rot when still smell plants caused by too much water and not enough oxygen";;"746790860382212096"
GrowAquaponics;2016-06-25 15:24;0;"Hydroponic systems are prone to disease called "pythium" or root rot . This disease is virtually non-existant in #aquaponics .";#aquaponics;"746695495343607808"
APGExtension;2016-06-25 02:06;3;"Root rot in pulses. What you need to know! https:// twitter.com/apgresearch/st atus/746473780852101120 …";;"746494708130643968"
cropwiz;2016-06-25 01:18;0;"@TJKlopp @cropdoc2 @AlbertTenuta I'm surprised too. The lesions look like root rot . Beans have barely grown any for last 10 days . #stumped";#stumped;"746482724584595456"
TJKlopp;2016-06-25 01:09;0;"@cropwiz @cropdoc2 @AlbertTenuta root rot even when it's this dry??";;"746480320728338433"
APGresearch;2016-06-25 00:43;4;"Current weather pattern means risk for root rot . Check out... http:// pulse.ab.ca/images/uploads /page_files/Root_Rot_in_Pea_and_Lentil.pdf …";;"746473780852101120"
cropwiz;2016-06-25 00:24;0;"Finding root rot lesions on our dry beans. Plants r stunted. What r chances of recovery ? @cropdoc2 @AlbertTenuta pic.twitter.com/lqqviNXRmx";;"746469138114150400"
ultimateyield;2016-06-25 00:10;0;"#AIM16 less than 1 month away! Stop by UYMI to see how to boost your pulse yield and manage root rot @AginMotion pic.twitter.com/cgZdHrOAXH";#AIM16;"746465465883561984"
csekulic;2016-06-24 23:32;2;"How rotten! Seeing some root rot in peas... @APGExtension getting some solutions! pic.twitter.com/sqvdlkHiSh";;"746456107644641280"
SusanGowanAgr;2016-06-24 22:06;3;"Rhizoctonia root rot in soybeans. Reddish sunken lesions just below soil surface. Leaves browning #scout16 pic.twitter.com/IhtOEYdc8r";#scout16;"746434454026018817"
ultimateyield;2016-06-24 21:11;0;"Be sure to come to UYMI's research tour on July 14 to learn more about root rot management https:// twitter.com/AgronomistSPG/ status/746410878442975232 …";;"746420579536863232"
AgronomistSPG;2016-06-24 20:20;13;"Field of pea or lentil not looking so good... root rot could be the issue. http:// ow.ly/zvUH301BAjI";;"746407587906785280"
MbPulseGrowers;2016-06-24 19:29;1;"#Soybean disease survey for root rot , foliar leaf diseases. New technology to detect all viruses, fungal pathogens pic.twitter.com/qx7fH7eCCg";#Soybean;"746394825876901888"
APGExtension;2016-06-24 19:16;0;"Saw some excellent pea and lentil fields while visiting the Peace country. Root rot complex evident in some fields. Aschochyta as well.";;"746391649983438849"
bzgeb;2016-06-24 18:52;0;"@KommanderKlobb @MonsieurEureka @LillyD_LWS yeah they all died from root rot (maybe overwatering?), so that's the first lesson of many";;"746385502299795457"
SaskPulse;2016-06-24 18:34;1;"Don't forget catch CJWW tomorrow morning for Pulse Advisor. Interviews on root rot , faba bean disease & more. @AgronomistSPG";;"746380869586157568"
tkl277iztha1;2016-06-24 16:15;0;"@VtheEsquire @sckadub Those trees have root rot";;"746346042229137414"
gwenckatz;2016-06-24 04:01;0;"@Botgle ion bot boot root rot sot pot top bop not ton bon";;"746161335008825344"
RParkFarmBoy;2016-06-24 00:21;0;"Root rot in peas can be avoided with the use of a #seedtreatment . #Scout16 pic.twitter.com/ftbb6KHRAb";#seedtreatment #Scout16;"746105869289422848"
SaskPulse;2016-06-23 22:27;0;"We've got Pulse Advisor on CJWW this Sat @8:25 a.m. Talking bees & pulses, the root rot situation in #SK , field days & more! #westcdnag";#SK #westcdnag;"746077117796884480"
JocelynZombie;2016-06-23 20:27;0;"@O_Waite Just make sure you pour out all the water when they're done soaking. They're prone to root rot . Other than that, no maintenance.";;"746046955760009216"
BarbGlen;2016-06-23 18:00;1;"Syama Chatterton of Ag Can discusses root rot in peas at Farming Smarter plot hop Lethbridge. #westcdnag #peas pic.twitter.com/XYANYIEUvy";#westcdnag #peas;"746009953983307776"
rlallensack;2016-06-23 16:05;0;"@trickinnn omg that's how they get root rot you asshole leave me alone";;"745981120764739584"
drkhaledarafat;2016-06-23 12:32;0;"I've just posted a new blog: Date palm trees: The root rot fungal diseases and their control http:// ift.tt/28NSIK9";;"745927581577412610"
chaffin_robert;2016-06-23 10:06;1;"@elliesangelwing Good and give you bush a good drink of water & only twice a month , water to much you get root rot !";;"745890702727471106"
