username;date;retweets;text;hashtags;id
AWCoastCountry;2016-06-28 13:32;1;"Walking the wheat plots @NIABTAG open day, lots of talk of yellow rust pic.twitter.com/vHt7ei0yBA";;"747754488950325248"
NIABTAG;2016-06-28 12:59;3;"Sarah Holdgate discusses yellow rust and field pathogenomics at NIAB Cambridge Open Day pic.twitter.com/sqUmcDq1XN";;"747746188607250432"
AlisonRBentley;2016-06-28 12:44;0;"@HoldgateSarah introduces the UKCPVS and other yellow rust work ongoing @NIABTAG pic.twitter.com/0L1sXgXDDx";;"747742349132959744"
JackRussell711;2016-06-28 12:41;1;"@CJ_Cambridge Learning more about Yellow Rust @NIABTAG pic.twitter.com/j9ciskJ16u";;"747741740409430016"
mcaccamo;2016-06-28 12:41;0;"Sarah Holdgate last speaker - monitoring yellow rust - populations dynamics in the UK @NIABTAG open day pic.twitter.com/fuyzSPXWHQ";;"747741701167538176"
FarmingFutures;2016-06-27 00:52;0;"Yellow rust the "Cereal Killer" http://www. farmingfutures.org.uk/blog/yellow-ru st-cereal-killer … @JohnInnesCentre";;"747200785050542080"
GalacticKnights;2016-06-25 14:38;0;"Where's Wall.e? Right here of course! Why not watch the lovable yellow rust bucket come to life before your very... http:// fb.me/4PCdrEySD";;"746684029597065216"
AgriiWest;2016-06-24 14:16;5;"Yellow rust has been more widespread+an unexpected challenge in varieties like Reflection, Britannia and JB Diego pic.twitter.com/ZP7xDIBpJf";;"746315991496429568"
AgriiWest;2016-06-23 17:17;1;"Bill Angus discussing yellow rust strains #BrackleyiFarm pic.twitter.com/0DlRqQ0God";#BrackleyiFarm;"745999301764055040"
ssmshah;2016-06-23 15:42;0;"@AgriiUK Bill Angus discussing yellow rust at brackley ifarm event pic.twitter.com/PTduge5k8s";;"745975419262898177"
AgriiWest;2016-06-22 12:20;2;"Rosemary Bales discussing yellow rust strains @#LudlowiFarm Summer event pic.twitter.com/w486ptJoWB";#LudlowiFarm;"745562104220942341"
EdRojasT;2016-06-22 10:03;8;"Can #endophytes help us to control yellow rust ? At @KU_PLEN we're trying to figure it out! #wheat #plantSci pic.twitter.com/cPADd0QvBk";#endophytes #wheat #plantSci;"745527567495528448"
ssmshah;2016-06-21 18:56;2;"@AgriiWest Bill Angus discussing different strains of yellow rust at the Agrii South Wales ifarm event pic.twitter.com/XIsFVV6XLc";;"745299361312215040"
AndyNash_Agrii;2016-06-21 10:05;3;"@DickyWood1 Reflection looking good - no yellow rust ! pic.twitter.com/fnsPo580nu";;"745165823971467264"
cricketandcrops;2016-06-19 14:22;0;"untreated Skyfall showing yellow rust creeping in, something to keep an eye on pic.twitter.com/souIgaIjSD";;"744505559416770560"
JackLRichardson;2016-06-19 12:19;0;"@xbrandybx smattering of yellow rust and a little bit of septoria but pretty good really";;"744474732137971712"
AgrovistaSelect;2016-06-18 16:01;7;"Worst untreated variety plots now pretty much totally defoliated by Yellow Rust at Stoughton site pic.twitter.com/WTk3uB1qbo";;"744168098668871681"
LoriStoudt;2016-06-18 15:29;0;"Orange Yellow Rust Instant Book Hard Cover by VintageInspiredNow http:// etsy.me/1UiTzV2 via @Etsy";;"744160055776452608"
xrjquarry;2016-06-16 11:08;0;"yellow rust slate and black slate , if have any intersting ,welcome to contact with us . XRJ stone /Kenny";;"743369679620743168"
KWSUKLtd;2016-06-15 22:37;1;"KWS Santiago doing well on yellow rust this year from crops we've seen so far this year too! Love the aerial shot! https:// twitter.com/dan_kiddy1/sta tus/743179076190474240 …";;"743180596730531840"
Everest549;2016-06-15 15:04;0;"Yellow rust shows up dramatically in Suffolk wheat trial - Farmers Weekly http://www. fwi.co.uk/arable/yellow- rust-disease-strikes-in-suffolk-wheat-plots.htm#.V2FSP6_-Cds.twitter …";#;"743066534533304320"
farmersamclarke;2016-06-14 23:00;0;"How many plans will I need to write like this to keep the yellow rust out? First one going out tonight #reflection pic.twitter.com/NYwvhVxjUQ";#reflection;"742824015216148480"
FarmingFutures;2016-06-14 09:28;0;"Field pathogenomics reveals the emergence of a diverse wheat yellow rust population http://www. farmingfutures.org.uk/blog/field-pat hogenomics-reveals-emergence-diverse-wheat-yellow-rust-population … @CristobalUauy @JohnInnesCentre";;"742619603851874305"
BartsAgri;2016-06-14 09:15;0;"Trials - Robust fungicide programmes kept varieties clean but many untreated plots succumbed to yellow rust #trials pic.twitter.com/BmG6n4BcIv";#trials;"742616367631851521"
akenne;2016-06-14 02:34;0;"Intersection blue turquoise orange yellow rust brown original modern art abstract acrylic... http:// fb.me/7rPQE9hzM";;"742515461842186240"
SkeetReeseToo;2016-06-14 02:23;0;"@BrianStockl I just love #yellow . Rust isn't yellow so I hate it, maybe I should look into @flambeauout and the #zerust series...";#yellow #zerust;"742512801193725952"
LoriStoudt;2016-06-13 15:23;0;"Orange Yellow Rust Instant Book Hard Cover by VintageInspiredNow http:// etsy.me/1UiTzV2 via @Etsy";;"742346615692898305"
Georgetta_Iwane;2016-06-13 13:06;0;"#Wool #blanket #Deal Crocheted Afghan Throw Blanket Striped Wool White Green Yellow Rust Fringes… http:// dlvr.it/LY9tgs #WoolBlankets #Buy";#Wool #blanket #Deal #WoolBlankets #Buy;"742312127281537024"
ssmshah;2016-06-12 16:13;1;"@AgriiWest yellow rust at AgriiFocus pic.twitter.com/f0iCpZyEbD";;"741996825620717568"
Cripple_Bitch;2016-06-12 07:41;0;"If u go from brow to blonde and it comes out all yellow rust ,DO NOT FUCKING CALL IT BLONDE. ITS NOT A BLONDE COLOR. #Smh know ur color dyes";#Smh;"741868074580594688"
EileenChoffnes;2016-06-11 20:34;0;"Fairly alarming news! Yellow rust shows up dramatically in Suffolk wheat trial - Farmers Weekly http://www. fwi.co.uk/arable/yellow- rust-disease-strikes-in-suffolk-wheat-plots.htm?cmpid=NLC%7CFWFW%7CFWCPU-2016-0609 …";;"741700189057101825"
russbmckenzie;2016-06-11 08:42;2;"Certainly a yellow rust year in all sorts of untreated varieties. https:// twitter.com/agrovistaselec t/status/741336699662422017 …";;"741521034009018369"
YogaStudio55;2016-06-11 06:12;0;"Yellow Rust #foxfurpompom #furpompomkeychain #furbagcharm #furbagchain #trends #trending #womensaccessories #womens … pic.twitter.com/EB0H0CaGBf";#foxfurpompom #furpompomkeychain #furbagcharm #furbagchain #trends #trending #womensaccessories #womens;"741483110110498816"
AgrovistaSelect;2016-06-10 20:30;13;"Well timed v's delayed T2 on yellow rust pic.twitter.com/xxiQgN7FmD";;"741336699662422017"
russbmckenzie;2016-06-10 18:00;0;"@blacker_david @OOOfarmer @KWSUKLtd Untreated Skyfall trial plastered with yellow rust the other day. It gets YR but easy to control ATM!";;"741298924783308800"
PratisaraB;2016-06-10 16:33;0;"@aggielovesgeer Yup..stripe rust a.k.a yellow rust is here. Definitely time to scout and to follow biosecurity protocol.";;"741277167640711170"
CharlesWright88;2016-06-10 14:50;0;"Untreated Santiago starting to really stand out now, Septoria to blame as much as Yellow Rust ! pic.twitter.com/wGKhgl8o0z";;"741251223131672580"
lisawinetravel;2016-06-09 21:52;1;"@AdamaUK_ @Adama_NE Lots of yellow rust around in Germany, much worse than usual apparently";;"740994929665662976"
AdamaUK_;2016-06-09 21:20;2;"Looking at herbicide trials in Germany this week - yellow rust prevalent @Adama_NE @lisawinetravel pic.twitter.com/suvDhbQ9GB";;"740986882004254720"
YogaStudio55;2016-06-09 20:42;0;"Yellow Rust #foxfurpompom #furpompomkeychain #furbagcharm #furbagchain #trends #trending #… http:// ift.tt/1UiY4ji pic.twitter.com/AIVgTtefzE";#foxfurpompom #furpompomkeychain #furbagcharm #furbagchain #trends #trending #;"740977446191779840"
youngspikey1;2016-06-09 19:34;0;"Yellow rust showing in untreated plots. New race? #varietyday pic.twitter.com/YuvJck6tW3";#varietyday;"740960183883550720"
2blades;2016-06-09 17:53;11;"Yellow rust shows up dramatically in Suffolk wheat trial - Farmers Weekly http://www. fwi.co.uk/arable/yellow- rust-disease-strikes-in-suffolk-wheat-plots.htm#.V1mQ49_-odU.twitter …";#;"740934780078809088"
commodityindia;2016-06-09 12:06;0;"Yellow rust shows up dramatically in Suffolk wheat trial - 06/09/2016 http://www. commodityindia.com";;"740847530494287872"
LoriStoudt;2016-06-08 17:32;0;"Orange Yellow Rust Instant Book Hard Cover by VintageInspiredNow http:// etsy.me/1UiTzV2 via @Etsy";;"740567214399627264"
davidjonesFW;2016-06-08 15:32;6;"Yellow rust makes a pretty picture in Suffolk wheat trial #clubhectare http://www. fwi.co.uk/arable/yellow- rust-disease-strikes-in-suffolk-wheat-plots.htm … pic.twitter.com/fqnaBQoXGo";#clubhectare;"740536932841758722"
SallyGray31;2016-06-08 13:30;1;"Reflection with Solstice headland and behind. Yellow rust control has been reasonable but now topping really badly pic.twitter.com/BoUmzWQmpa";;"740506311662706689"
BartsAgri;2016-06-08 08:40;2;"Yellow Rust in Cubanita, Winter Wheat, Petersfield Hampshire #disease #cropprotection #wheat #bartholomews pic.twitter.com/ib2xUKldC8";#disease #cropprotection #wheat #bartholomews;"740433234274701312"
HelenBruwn;2016-06-07 21:08;0;"Yellow rust in Robigus untreated wheat plot at Hutchinsons Alnwick RTC pic.twitter.com/cgprknxv9T";;"740259134021500928"
OakManoj;2016-06-07 06:55;0;"BMC Genomics: The host-pathogen interaction between wheat and yellow rust induces temporally coordi... | @scoopit http:// sco.lt/9MTJ57";;"740044484654837760"
FarmingShow;2016-06-06 19:00;1;"We've been looking at various crop trials today, some more successful at beating yellow rust than others! pic.twitter.com/8TYQUqmC4j";;"739864497616228352"
FarmingFutures;2016-06-06 17:45;0;"Yellow rust of wheat http://www. farmingfutures.org.uk/blog/yellow-ru st-wheat … @croprotect";;"739845581804175360"
CirenCrop;2016-06-06 14:53;0;"T1 product choice & timing has been pivotal in successful yellow rust control. Reflection & Horatio (Oakley parentage) worst affected.";;"739802512874713088"
talbotlabexeter;2016-06-05 18:39;2;"Wheat field today near Dawlish Warren #Devon with some yellow rust symptoms. Humid microclimate of estuary suits it. pic.twitter.com/9paDhdfo9J";#Devon;"739496965218705408"
blgiftshop99;2016-06-05 15:26;0;"HANDMADE BRACELET SUNNY YELLOW RUST -FREE PREMIUM CHAIN #handmade #handcrafted #bracelets https:// blessgift.co.uk/collections/je wellery-watches-ethnic-regional-tribal-other-ethnic-regional-jewelry/products/handmade-bracelet-sunny-yellow-on-a-rust-free-premium-chain … pic.twitter.com/5goNMu5UMM";#handmade #handcrafted #bracelets;"739448220611432449"
LoriStoudt;2016-06-05 12:19;0;"Orange Yellow Rust Instant Book Hard Cover by VintageInspiredNow http:// etsy.me/1UiTzV2 via @Etsy";;"739401316989042689"
andrew_brice;2016-06-04 00:15;0;"Yellow rust in Cordiale. #spraymiss pic.twitter.com/PPOFtczumr";#spraymiss;"738856618721484801"
LoriStoudt;2016-06-03 17:02;0;"Orange Yellow Rust Instant Book Hard Cover by VintageInspiredNow http:// etsy.me/1UiTzV2 via @Etsy";;"738747760908898305"
AndyNash_Agrii;2016-06-03 12:19;3;"@ssmshah @AgriiWest @AgriiFocus Reflection untreated plot full of yellow rust at Agriifocus pic.twitter.com/kNOqzHvsKC";;"738676389382135809"
TomWhitfield10;2016-06-02 11:27;1;"Yellow rust in untreated plots of Robigus, Reflection and Horatio at Hutchinsons Alnwick RTC @Hutchinsons_Ag @wdp52 pic.twitter.com/uICbDHFicQ";;"738301042287378433"
Blackthorncox;2016-06-01 23:37;0;"A crop with missed areas of yellow rust will be at much higher pressure in my experience. More so than septoria https:// twitter.com/RTKfarmer/stat us/738054294881062912 …";;"738122358280617985"
AgriiUK;2016-06-01 09:23;2;"Yellow rust in the flag leaves of Reflection at the Dorset iFarm today #iFarms #knowledgetransfer pic.twitter.com/G21XPQiiS8";#iFarms #knowledgetransfer;"737907472183263232"
nhojymiles;2016-05-30 23:43;0;"@reglimagrain sexual reproduction stage of current yellow rust races Imagine what that will do to wheat !";;"737399057174388740"
HKRedNin;2016-05-30 18:00;0;"@reglimagrain nevermind looking through your tweets I think I realized YR is yellow rust";;"737312694441775105"
jacquet_chris;2016-05-30 16:52;1;"BMC Genomics: The host-pathogen interaction between wheat and yellow rust induce... | @scoopit via @stephenmarek2 http:// sco.lt/6QRMMj";;"737295623624531968"
LoriStoudt;2016-05-30 15:19;0;"Orange Yellow Rust Instant Book Hard Cover by VintageInspiredNow http:// etsy.me/1UiTzV2 via @Etsy";;"737272158934667264"
LoriStoudt;2016-05-30 02:01;0;"Orange Yellow Rust Instant Book Hard Cover by VintageInspiredNow http:// etsy.me/1UiTzV2 via @Etsy";;"737071453410107392"
ianholmes20;2016-05-29 21:54;0;"@ebbageseeds @KWSUKLtd yes it is, odd bit of yellow rust about again and have to spend the money but it's a very good performer";;"737009264485634048"
stephenmarek2;2016-05-29 19:18;2;"BMC Genomics: The host-pathogen interaction between wheat and yellow rust indu... | @scoopit via @TheSainsburyLab http:// sco.lt/5Ihraj";;"736969950590603264"
ianholmes20;2016-05-29 15:59;0;"Untreated and Treated Reflection. Yellow rust still attacking leaf 2 even with robust treatment. #notfornextyear pic.twitter.com/tE7ikvTe9n";#notfornextyear;"736919925835616256"
AmeurCherif;2016-05-28 20:49;0;"The host-pathogen interaction between wheat and yellow rust induces temporally coordinated waves of... http:// bmcgenomics.biomedcentral.com/articles/10.11 86/s12864-016-2684-4 … #bmcgenomics";#bmcgenomics;"736630453147422721"
fmartin1954;2016-05-28 20:43;6;"BMC Genomics: The host-pathogen interaction between wheat and yellow rust indu... | @scoopit via @TheSainsburyLab http:// sco.lt/6dFGgz";;"736628884242857984"
Blackthorncox;2016-05-28 07:51;5;"Septoria resistance can save you money but yellow rust is volatile so never assume you are safe even with a 9 https:// twitter.com/Bayer4CropsUK/ status/728942964244877312 …";;"736434618447081473"
freddie_grant;2016-05-27 21:11;0;"@bodenfarming I drilled some at the end of September last yr. Shocking amounts of yellow rust . Will never grow again";;"736273675545104385"
Cropnuts_agron;2016-05-27 17:56;7;"Seen Yellow Rust this season, but not in Skyfall until now. pic.twitter.com/pd0wKoyFLE";;"736224657976741889"
freddie_grant;2016-05-27 17:51;0;"@bodenfarming yellow rust ?";;"736223325693808640"
TJex_Agronomy;2016-05-27 15:26;2;"Yellow rust in March drilled Skyfall in Wiltshire @ssmshah @AgriiFocus pic.twitter.com/SyE53m3hM6";;"736186785995358209"
IanRASmillie;2016-05-26 20:47;0;"@AliBosher @SyngentaCropsUK @DOWAGROUK @Bayer4Crops @BASFcropUK @AdamaUK_ #SprayTunes - Goodbye yellow rust load - Elton John";#SprayTunes;"735905320841695232"
cropdoc2;2016-05-26 20:20;3;"Obvious wheat vty diff for stripe rust ( yellow rust ) infection. Ridgetown OCCC. Fore: Susc, Back: More Resistant pic.twitter.com/ou5YalaiIo";;"735898476517564417"
naked_barley;2016-05-26 18:14;0;"@CopeSeeds @SoilAssociation Warrior 3 Yellow Rust this year looks to have overcome variety resistance that was good in 2015";;"735866822717779968"
BartsAgri;2016-05-26 11:30;3;"Yellow rust on Reflection wheat near Bridport, Dorset #agronomy #disease #watch #bartholomews pic.twitter.com/NYc43Jf2iT";#agronomy #disease #watch #bartholomews;"735764991047958528"
TheSainsburyLab;2016-05-26 10:58;7;"BMC Genomics: The host-pathogen interaction between wheat and yellow rust induces temporally coordinated wav... | http:// sco.lt/5y0ZDF";;"735756966572621828"
virinder98;2016-05-26 09:22;0;"#TransformingIndia Punjab Agri Dept. committed to provide timely help…sets up call center to help farmer save crop from ‘ yellow rust ’";#TransformingIndia;"735732874213613568"
VPaljasniy;2016-05-26 08:20;0;"Yes)highly impacted by Yellow Rust ) and powderew mildew) I collect rust spores by car vacuum cleaner) https:// twitter.com/Sivapbg/status /735617305359458305 …";;"735717271457271809"
makhanBrar11;2016-05-26 08:01;0;"#TransformingIndia Punjab Agri Dept. committed to provide timely help…sets up call center to help farmer save crop from ‘ yellow rust ’";#TransformingIndia;"735712524645994510"
ShagunChahal22;2016-05-26 07:58;0;"#TransformingIndia Punjab Agri Dept. committed to provide timely help…sets up call center to help farmer save crop from ‘ yellow rust ’";#TransformingIndia;"735711756962529280"
robinsingh012;2016-05-26 07:41;0;"#TransformingIndia Punjab Agri Dept. committed to provide timely help…sets up call center to help farmer save crop from ‘ yellow rust ’";#TransformingIndia;"735707386581651456"
Simrangarry2;2016-05-26 07:29;0;"#TransformingIndia Punjab Agri Dept. committed to provide timely help…sets up call center to help farmer save crop from ‘ yellow rust ’";#TransformingIndia;"735704418612445184"
SinghSukhveer5;2016-05-26 07:11;0;"#TransformingIndia Punjab Agri Dept. committed to provide timely help…sets up call center to help farmer save crop from ‘ yellow rust ’";#TransformingIndia;"735699897484115970"
sharma_balvir;2016-05-26 06:10;0;"#TransformingIndia Punjab Agri Dept. committed to provide timely help…sets up call center to help farmer save crop from ‘ yellow rust ’";#TransformingIndia;"735684466870345729"
ProCamUK;2016-05-25 16:11;0;"Yellow rust in untreated plots - fungicide programmes working well. #agronomy #yellowrust #fungicide pic.twitter.com/QuCJ4x9d0z";#agronomy #yellowrust #fungicide;"735473483761778688"
FrontierAg;2016-05-25 15:41;0;"Yellow rust pressure is high in untreated wheat varieties at Alford #3Dthinking trial site pic.twitter.com/7kB7d6oFQS";#3Dthinking;"735465706603446272"
AgriiUK;2016-05-25 10:01;1;"Yellow rust at the Bromsgrove iFarm – treated v untreated. Variety choice is key. Discover more at our iFarm events pic.twitter.com/g15Ba8RvXZ";;"735380265711849472"
gianstr;2016-05-24 18:57;0;"BMC Genomics: The host-pathogen interaction between wheat and yellow rust induces te... | @scoopit via @KamounLab http:// sco.lt/6QQPh3";;"735152806240325632"
Robinbasf;2016-05-24 17:03;2;"Yellow rust , picking up a "little" in untreated plots in Herefordshire. And this is the West. #Glowing not growing pic.twitter.com/Cq90sBmIvh";#Glowing;"735124144514289665"
FrontierAg;2016-05-24 15:51;1;"Disease pressure is building at Haywold #3Dthinking site with yellow rust & septoria pic.twitter.com/ifCfVGHKSZ";#3Dthinking;"735105850876952576"
YoubidderSniper;2016-05-24 15:31;0;"Lot Of 7 African Trade Beads Venetian Glass Millefiori/ yellow/rust /white/bla http:// youbidder.com/141990036667 Ebay Snipe ↺RT, Favorite, S";;"735100791195738113"
KamounLab;2016-05-24 15:22;2;"Another plant pathogenomics paper! @CristobalUauy @Saunders_Lab wheat vs yellow rust transcriptome dynamics http:// sco.lt/7hOBNJ";;"735098545125134336"
Arable_Marianne;2016-05-24 14:36;0;"Yellow rust pressure and possible susceptibility to lodging could sort out new wheat varieties depending on how the season pans out";;"735087093530132480"
KanyukaKostya;2016-05-24 13:52;1;"Yellow rust is the main wheat disease in Turkey, followed by leaf rust, Fusarium root crown rot and sunn pest.";;"735076117426675714"
