username;date;retweets;text;hashtags;id;
UNL_CropWatch;3/28/2016 20:32;4;"Goss’s Bacterial Wilt & Leaf Blight of Corn; open access webinar by @tjcksn http://www. plantmanagementnetwork.org/edcenter/semin ars/corn/GossWilt/ … pic.twitter.com/yFyVNySfKM vi @BobWrightU";;7.1452E+17;
cyguy83;6/11/2016 2:13;0;@nciacrops @FarmNutrients @hagiemfg @360yieldcenter Northern Corn Leaf Blight on most corn plants;;7.41423E+17;
ncipmc;3/28/2016 20:42;0;New post: Webinar: Goss’s Bacterial Wilt and Leaf Blight of Corn http://www. ncipmc.org/connection/?p= 1062 …;;7.14523E+17;
CowboyCubby;6/16/2016 18:28;5;Fabulous! Now we have Northern Corn Leaf Blight ! Let's just all stop walking fields! Too Hot out here Anyway! pic.twitter.com/bHtoSSq1cv;;7.4348E+17;
panaridus;5/12/2016 19:43;0;Leaf Blight a biological weapon!This is why we need another source of rubber like guayule! https:// books.google.com/books?id=MGZwg xoHxCAC&pg=PA254&lpg=PA254&dq=is+leaf+blight+a+biological+weapon&source=bl&ots=iPl1-vjcq5&sig=KoWcQ1a7UZeShfYG5cy300iZLpc&hl=en&sa=X&ved=0ahUKEwicpdTahdXMAhUC92MKHUoADdsQ6AEIJDAI …;;7.30816E+17;
tjcksn;6/21/2016 4:54;0;@UNLPlantPath student @TerraGator94 applying early fungicide trts 4 Northern Corn Leaf Blight n northeast Nebraska! pic.twitter.com/hRLspt534F;;7.45087E+17;
delongcompany;6/23/2016 0:27;1;Our latest agronomy update on Northern Corn Leaf Blight in Wisconsin: http://www. delongcompany.com/csty-northern- corn-leaf-blight-confirmed-southern-wisconsin-102-1633741 …;;7.45745E+17;
neofull;6/3/2016 4:30;0;Leaf Blight #Juegos #Estrategia http:// juegos.neofull.com/jugar/leaf-bli ght.htm …;#Juegos #Estrategia;7.38558E+17;
2blades;6/6/2016 19:05;0;Increased temperatures in southern India leads to spread of leaf blight disease in coconut trees http:// ow.ly/U6f3300XSkN;;7.39866E+17;
TalkVietnamBuzz;6/12/2016 1:55;0;Bayer offers Vietnamese farmers a revolutionary solution against Bacterial Leaf Blight disease at http://www. talkvietnam.com/2016/06/bayer- offers-vietnamese-farmers-a-revolutionary-solution-against-bacterial-leaf-blight-disease/ …;;7.41781E+17;
Life_Sciences_;3/7/2016 6:06;0;#EurekaMag Effects of nitrogen nutrition and bacterial leaf blight on rice leaves http:// dlvr.it/KjPXh3;#EurekaMag;7.06707E+17;
ToddClaussen;6/15/2016 4:24;48;"Northern Corn Leaf Blight in Guthrie County, IA today; June 14, 2016 pic.twitter.com/p7KPtEFMM7";;7.42905E+17;
WisCropMan;6/16/2016 20:06;1;Northern Corn Leaf Blight Positively Identified in Wisconsin in 2016 - http:// tinyurl.com/h8a6x9h;;7.43505E+17;
VaillancourtLab;3/31/2016 18:02;1;Wilmot, Agreliant, target diseases are gray leaf spot, northern corn leaf blight , and Gosses wilt.;;7.1557E+17;
steve_atkins;5/24/2016 23:20;0;@seananmcguire Corn leaf blight jumps species. Fungal monsters in the cornfield ensue.;;7.35219E+17;
WI_Dekalb;6/17/2016 21:48;0;Northern Corn Leaf Blight is showing up in WI pic.twitter.com/Fs6FflXIOm;;7.43893E+17;
sharkinthepark;6/29/2016 13:28;0;@ChrisPawelski @sharkinthepark is leaf blight like an orange powdery fungus thing on leaves;;7.48116E+17;
_adj_noun;6/21/2016 2:26;0;seasoned leaf blight;;7.4505E+17;
atltreepros;6/6/2016 6:44;0;Coconut trees hit by leaf blight disease - The Hindu: http:// ift.tt/24sjHyK;;7.39679E+17;
CHMMNews;4/5/2016 16:25;0;PRO/PL> Bacterial leaf blight , rice – Peru: (PI) http:// dlvr.it/KzLc4H #HazMat;#HazMat;7.17358E+17;
Invasion_Watch;6/28/2016 6:56;0;Invasion! northern corn leaf blight in Mitchell County, Georgia: http:// bit.ly/293ImHS #invasivespecies;#invasivespecies;7.47655E+17;
EurekaMag;3/5/2016 14:20;8;#EurekaMag Enzymological and permeability changes involved in bacterial leaf blight of rice http:// dlvr.it/KhhWsL;#EurekaMag;7.06107E+17;
PioneerSDakota;6/29/2016 2:50;4;Starting to see symptoms of Northern Corn Leaf Blight in central SD. Learn more at: http:// phbn.ws/6019Bvzjl #Scout16 pic.twitter.com/Kb60jQV0UA;#Scout16;7.47955E+17;
Redfifer;5/29/2016 3:57;0;@danmaltby1 @RedGreen632 @SunnyWonny Looks like topdressing or maybe just tracks from leaf blight spraying? pic.twitter.com/rewZ9tHs2u;;7.36738E+17;
CceMonroe;5/26/2016 18:30;0;Plant stress = insect and disease problems Pachysandra leaf blight http:// monroe.cce.cornell.edu / http:// fb.me/DiRWWyic;;7.35871E+17;
machinefinder;5/24/2016 18:02;0;Resistant Hybrids, Residue Management & Fungicides Can Fight Northern #Corn Leaf Blight http:// ow.ly/d4Iu300uNQq via @SuccessfulFarm #AgChat;#Corn #AgChat;7.35139E+17;
wadeoehmichen;6/21/2016 22:29;3;Northern corn leaf blight is off to an early start in Wisconsin. Time for priaxor app! #planthealth16 #savemepriaxor pic.twitter.com/kb7wIknUrU;#planthealth16 #savemepriaxor;7.45353E+17;
Invasion_Watch;6/25/2016 4:44;0;Invasion! northern corn leaf blight in Grady County, Georgia: http:// bit.ly/28Xbwbu #invasivespecies;#invasivespecies;7.46534E+17;
Invasion_Watch;6/1/2016 21:23;0;Invasion! northern corn leaf blight in Terrell County, Georgia: http:// bit.ly/283LjPA #invasivespecies;#invasivespecies;7.38089E+17;
CGSpaceResearch;4/14/2016 12:14;0;Heterosis and combining ability of elite maize inbred lines under northern corn leaf blight disease p #IITA #CGIAR http:// hdl.handle.net/10568/72896;#IITA #CGIAR;7.20556E+17;
panaridus;3/24/2016 18:18;0;"South American leaf blight reaching Southeast Asia could bring the automobile age to a screeching halt."" - http:// bit.ly/1SjCW9Z""";;7.13052E+17;
BigShowFarm;6/17/2016 16:30;4;Today's show: #crop16 w/ @LandusCoop @ToddClaussen on @whoradio & @600WMTAM | Northern leaf blight (Guthrie Co.) pic.twitter.com/udwm51ZSXZ;#crop16;7.43813E+17;
hiasilrdne;3/7/2016 6:06;0;#EurekaMag Effects of nitrogen nutrition and bacterial leaf blight on rice leaves http:// dlvr.it/KjPXXL;#EurekaMag;7.06707E+17;
Bayer4CropsUS;6/23/2016 20:38;9;What to do if southern corn leaf blight strikes: http:// bit.ly/1LD3MVF #cropprotection #cropscouting pic.twitter.com/zkjN26xSGQ;#cropprotection #cropscouting;7.4605E+17;
Scien_net;4/19/2016 19:45;0;#Scien The causal organism of sugarcane leaf blight http:// bit.ly/23XeH79;#Scien;7.22481E+17;
muffagservices;6/29/2016 21:07;0;Northern Corn leaf blight approaching thresholds in N Iowa 50% showing signs in some areas Prepare to spay Quilt XL! pic.twitter.com/MDcf9Komhy;;7.48231E+17;
EurekaMag;5/14/2016 6:22;0;#EurekaMag Bacterial antagonist as seed treatment to control leaf blight disease of bambara groundnut (Vigna… http:// dlvr.it/LJWyVz;#EurekaMag;7.31339E+17;
