username;date;retweets;text;hashtags;id;Agritweet;Category
GardeningLife2;6/24/2016 23:06;2;Using Milk to Prevent Powdery Mildew - #gardening #garden #diy http:// gardeninglife.xyz/using-milk-to- prevent-powdery-mildew/ … pic.twitter.com/WcLSkSlSqw;#gardening #garden #diy;7.46449E+17;y;Awareness
pptsearch365;4/14/2016 3:11;0;powdery mildew PPT Template - http://www. pptsearch365.com/powdery-mildew .html … #powdery #mildew;#powdery #mildew;7.20419E+17;y;Others
OkieMGs;6/17/2016 15:22;0;Fact sheet EPP-7617 on powdery mildew on crape myrtles and more: http:// pods.dasnr.okstate.edu/docushare/dswe … @okstate_ag;;7.43796E+17;y;Awareness
BudGardenCentre;4/2/2016 10:19;0;@BackyardLarder @papaver It is hairy... and susceptible to powdery mildew . Not the stuff of banquets!;;7.16178E+17;y;Awareness
Susang6;4/18/2016 8:22;0;6 Ways to Prevent Powdery Mildew https:// shar.es/1jy7mY via @sharethis;;7.21947E+17;y;Awareness
Susang6;5/13/2016 12:07;0;2 Organic fungicides that kill Powdery Mildew , I use them in my garden, they work http:// brev.is/8DzC;;7.31063E+17;y;Awareness
EurekaMag;3/7/2016 2:41;8;#EurekaMag Effects of powdery mildew disease on uptake and metabolism of nitrogen by roots of infected barley http:// dlvr.it/KjLGt2;#EurekaMag;7.06656E+17;y;Research
GreatGardening2;4/8/2016 19:43;0;Get Rid of Powdery Mildew on Plants - http:// greatgardening.xyz/get-rid-of-pow dery-mildew-on-plants/ … #garden #gardening #gardens pic.twitter.com/HZCfTgVAh5;#garden #gardening #gardens;7.18495E+17;y;Awareness
BrandonFKenney;5/15/2016 4:53;4;Nice read on how to use the Gubler-Thomas Powdery Mildew Index (see below) http:// bit.ly/1TbUMzq #plantpathology;#plantpathology;7.31679E+17;y;Awareness
PSILabs;3/21/2016 16:50;0;#Repost @labtech_psi ・・・ Powdery mildew , a fungus that loves the cannabis plant. Pow… http:// ift.tt/1RaB3xg pic.twitter.com/ifEdJmJPuJ;#Repost;7.11943E+17;y;Others
CHansenAg;3/28/2016 22:28;0;Found stripe rust pustules in lower leaf canopy in a plot in Osborne County Kansas. Also found powdery mildew here. pic.twitter.com/HATapwpSVf;;7.1455E+17;y;self
OkieMGs;6/17/2016 15:22;0;Powdery mildew appearing on your crape myrtle? Prevent it by planting resistant varieties, leaving space for air flow, don't over fertilize.;;7.43796E+17;y;Awareness
LiebeGroup;6/10/2016 8:19;0;@TyTekAg reports finding powdery mildew in a five leaf Bass barley crop in Wongan Hills. Read more - https://www. agric.wa.gov.au/newsletters/pe stfax/pestfax-issue-9-june-2016?page=0%2C4#smartpaging_toc_p4_s0_h2 …;#smartpaging_toc_p4_s0_h2;7.41153E+17;y;news
JubileeScape;4/19/2016 22:53;0;Last week's rainy weather made ideal conditions for plant diseases like this powdery mildew : http://www. jubileescape.com/blogs/inspecti on-report-week-of-april-11-2016/ … pic.twitter.com/nr0REOr2zO;;7.22529E+17;y;Awareness
PNWNurseryIPM;6/6/2016 20:34;0;Hi Alan. Suspect it is an early indication of the full-blown powdery mildew that plant gets. http:// oregonstate.edu/dept/nurspest/ powdery_mildew_stachys.htm … https:// twitter.com/UTPlantDoc/sta tus/739887043812134913 …;;7.39888E+17;y;self
SeaCropCA;5/7/2016 2:08;0;I liked a @YouTube video http:// youtu.be/5f8s6-ipvOc?a How to Fight Powdery Mildew in the Grow Room;;7.28738E+17;y;Awareness
ConservationTV;3/13/2016 3:35;0;Powdery mildew relief found in your kitchen pantry! http:// zkq.me/Sa4SC;;7.08844E+17;y;Awareness
FrickWinery;6/12/2016 16:20;0;Sunrise Sunday Sulfuring. An ongoing summer job. Micronized organic sulfur dust keeps powdery mildew away. http:// fb.me/6f9HTaFq2;;7.41999E+17;y;Awareness
garydyke1;5/7/2016 18:43;0;Successful day clearing weeds , love the powerstrimmer! Garden looks good. Should reduce chances of powdery mildew late summer .;;7.28989E+17;y;Others
