username;date;retweets;text;hashtags;id;AgriTweet;Category
orchidlight;5/13/2016 3:37;2;dendrobium cane shrivel is not necessarily a sign plant needs water. Check the root system as root rot will cause shrivel of canes;;7.30935E+17;y;Awareness
Jon_Schiller;3/7/2016 7:19;0;|| Root Rot || ... Me, on Acrylics, on Table. https://www. instagram.com/p/BCpDkpNEoOO/;;7.06726E+17;n;
H4rley;6/2/2016 3:07;0;Root Rot On Marijuana Plants http://www. ilovegrowingmarijuana.com/marijuana-dise ases-pythium/ … via @Ilove_marijuana;;7.38175E+17;y;Awareness
frenchquarterxy;5/14/2016 14:25;0;How can you tell if a citrus tree is suffering from root rot ?: Root rot is often fatal. http:// bit.ly/1OqkKgI #nola #frenchquarter;#nola #frenchquarter;7.3146E+17;y;Awareness
CompBiolPapers;3/19/2016 11:28;1;Mapping of a Novel Race Specific Resistance Gene to Phytophthora Root Rot of Pepper (Capsicum annuum) Using Bulked… http:// dlvr.it/KqXTsQ;;7.11137E+17;y;Research
TrulyYoursMK;3/12/2016 21:13;0;Cactus update: So Bobert had root rot and I’ve cut … http:// corsicanchevalier.tumblr.com/post/140926624 478/so-bobert-had-root-rot-and-ive-cut-off-his-root … http:// corsicanchevalier.tumblr.com/post/140926624 478/so-bobert-had-root-rot-and-ive-cut-off-his-root …;;7.08748E+17;y;others
FlatBud;6/5/2016 8:00;0;Water Mold Root Rot https:// flatbud.com/disease/water- mold-root-rot … #watermoldrootrot pic.twitter.com/HviS1PJlRr;#watermoldrootrot;7.39336E+17;y;Awareness
_iluvmarijuana;3/10/2016 3:13;0;Best way to fight root rot .: Forum: Frequently Asked Questions Posted By: Mcjoint Post Time: 03-09-2016 at 05:... http:// bit.ly/1Ugjltg;;7.07751E+17;y;Awareness
roboko_001;5/8/2016 8:24;0;root rot;;7.29195E+17;n;
jesscrampton;5/4/2016 8:24;0;@gardenknowhow I think about a week they don't have root rot but could it be over watering and cold weather? I'm new to growing! Thankyou :);;7.27746E+17;y;others
PollardCalli;6/21/2016 5:40;0;@kstitch23 check out my root rot tho;;7.45099E+17;y;self
CapeCitSci;6/12/2016 11:48;0;@Proscorpio Sorta, fungi & Phytophthora like moist soils, but disease can be more pronounced w/ drought bc of less H2O from root rot .;;7.4193E+17;y;Awareness
FlanoAussie;6/29/2016 6:16;0;@asianturfgrass mate have you ever heard of anthracnose basal root rot of paspalum in Asia? Just got a diagnosis of that here in Hawaii.;;7.48007E+17;y;self
my2gr8girls;6/12/2016 7:32;1;I was hoping Native American would step up and trace her roots. She has root rot because SHE'S NOT NATIVE AMERICAN https:// twitter.com/JilliSizzle/st atus/741848584744624129 …;;7.41866E+17;n;
usr_bin_fortune;3/25/2016 9:30;0;root rot;;7.13282E+17;n;
laura_fonda;4/1/2016 23:12;0;@Swansons leave it to Swanson's to help me find the perfect plant for tricky spots! (hence a planter vs ground and root rot );;7.1601E+17;y;others
BestHydro101;3/11/2016 6:44;0;How to Stop and Prevent Root Rot http://www. besthydroponics101.com/how-to-stop-an d-prevent-root-rot …;;7.08167E+17;y;Awareness
viviannastevens;5/12/2016 3:57;0;I hate root rot !!!! http:// ift.tt/1ZHd3mY #Gardening;#Gardening;7.30578E+17;y;others
karentozzi;6/29/2016 17:07;0;The tall pine I used to sit in has root rot , Dick.;;7.48171E+17;y;others
GGGardeningWL;3/17/2016 23:26;0;How to identify Root Rot :) http:// fb.me/7DAjVXlTw;;7.10593E+17;y;Awareness
FlatBud;6/17/2016 19:00;0;Water Mold Root Rot https:// flatbud.com/disease/water- mold-root-rot … #watermoldrootrot pic.twitter.com/YMGWNNsTte;#watermoldrootrot;7.43851E+17;y;Awareness
AgronomistSPG;6/24/2016 20:20;13;Field of pea or lentil not looking so good... root rot could be the issue. http:// ow.ly/zvUH301BAjI;;7.46408E+17;y;Awareness
HydroponicsEasy;5/7/2016 5:26;0;Advantages of passive hydroponics are the reduction of root rot and the additional ambient humidity provided through evaporations.;;7.28788E+17;y;Awareness
HydroponicsEasy;4/7/2016 3:25;1;Advantages of passive hydroponics are the reduction of root rot and the additional ambient humidity provided through evaporations.;;7.17886E+17;y;Awareness
drkhaledarafat;6/23/2016 12:32;0;I've just posted a new blog: Date palm trees: The root rot fungal diseases and their control http:// ift.tt/28NSIK9;;7.45928E+17;y;Awareness
wordsintheURL2;3/16/2016 22:05;0;Back to Hitler for a second: City: Tree that fell on woman's car had root rot | Local News - WLWT Home http://www. wlwt.com/news/city-tree -that-fell-on-womans-car-had-root-rot/32467076 … via @wlwt;;7.1021E+17;n;
gregmasley;6/10/2016 18:48;0;How to Prevent Root Rot in Aeroponic Cloners http://www. masleyassociates.com/how-to-prevent -root-rot-in-aeroponic-cloners/ …;;7.41311E+17;y;Awareness
RaudalesLab;3/10/2016 14:31;0;Black Root Rot on Pansy. #e -Gro http://www. e-gro.org/pdf/2016_513.p df …;#e;7.07922E+17;y;Awareness
CannabisIndy;3/12/2016 23:38;0;root rot porn - http:// ift.tt/22bZPAR;;7.08784E+17;n;
BestHydro101;5/6/2016 22:02;0;How to Stop and Prevent Root Rot http://www. besthydroponics101.com/how-to-stop-an d-prevent-root-rot …;;7.28676E+17;y;Awareness
hayandforage;4/7/2016 15:45;2;#Drones used to monitor #alfalfa root rot disease. #ag #forage #crops #agchat http:// bit.ly/HFG-drone pic.twitter.com/S7SzJJwW9x;#Drones #alfalfa #ag #forage #crops #agchat;7.18072E+17;y;Awareness
FarmLead;5/20/2016 0:31;0;What To Watch For In Young #Corn http://www. grainews.ca/2016/05/10/wha t-to-watch-for-in-young-corn/ … At this stage, most susceptible to seed & root rot diseases. Weed control impt too;#Corn;7.33425E+17;y;Awareness
jmhulbert;5/17/2016 10:18;9;EM Hansen: Laminated root rot , caused by a native pathogen, kills 5% of native Oregon Dougfir forests, creating gaps for other spp #tpcp2016;#tpcp2016;7.32485E+17;y;Awareness
frenchquarterxy;3/7/2016 17:27;0;How to treat root rot on Japanese yews: QUESTION: I have a question about Japanese yews. ... http:// bit.ly/1U7B9qq #nola #frenchquarter;#nola #frenchquarter;7.06879E+17;y;Awareness
LaughOutLander;4/21/2016 16:13;16;I #TobiasMenzies , but BJR brings root rot to the Randall family foliage. #Outlander @laurencedobiesz (typo free ) pic.twitter.com/OW5pdHjQmd;#TobiasMenzies #Outlander;7.23153E+17;n;
IrdIKnightmarez;3/12/2016 17:03;0;I liked a @YouTube video http:// youtu.be/ta81qB4e7Is?a Aquaponic Dont's: Bio Filtration, Dissolved Oxygen, Root Rot , and Water Flow;;7.08685E+17;y;Awareness
