username;date;retweets;text;hashtags;id;AgriTweet;Category
Dr_Lee_Berndt;6/27/2016 22:32;0;Leaf spot mycelia on TifEagle #turfdisease pic.twitter.com/PgqZdkjbIL;#turfdisease;7.47528E+17;y;self
CropMonitor;4/9/2016 19:57;2;Our latest #CMreport is http://www. cropmonitor.co.uk/FoLCompiledRep orts/viewReport.cfm?week_id=233 … Yellow Rust resurgence and light leaf spot gathering pace @farmingonline @AICC1981;#CMreport;7.1886E+17;y;Awareness
KSU_CropDoc;6/16/2016 21:10;26;Gray leaf spot was detected on the lowest leaves of the canopy near Wamego, KS on V7 - V8 corn. Begin scouting soon.;;7.43521E+17;y;news
Does_Maria;5/3/2016 14:31;0;http:// About.com :Garden: What to Do about Septoria Leaf Spot on Tomatoes http:// ow.ly/8K2YS3;;7.27476E+17;y;Awareness
gimmeahandle;5/1/2016 7:12;0;@BmweirBrendan smurf status achieved and also very unlikely to suffer brown leaf spot this year;;7.2664E+17;y;others
Cropnuts_agron;3/19/2016 21:26;1;Is anyone else checking OSR samples for Light Leaf Spot while watching the rugby? No, just me then. pic.twitter.com/7YDSbiHg4k;;7.11288E+17;y;others
urbangarden;5/8/2016 16:12;0;U of IL Extension Garden Tip of the Day: Spotlight on common tomato leaf spot diseases http:// bit.ly/qHpiYG;;7.29313E+17;y;Awareness
doctorplants;3/4/2016 18:09;1;I took an image of Northern Corn Leaf Spot and it ended up in the new compendium! Check it out! pic.twitter.com/cw9majyWSQ;;7.05802E+17;y;others
Life_Sciences_;3/5/2016 21:25;0;#EurekaMag Entomosporium leaf spot of Pomoideae (rosaceae) in Japan. III. Additional basis for identification of… http:// dlvr.it/KhqN7c;#EurekaMag;7.06214E+17;y;Research
pjderoc;6/14/2016 21:11;0;@BoisvertLyse Possible physiological leaf spot (PLS)? http:// cropchatter.com/be-on-the-look -out-for-physiological-leaf-spot-in-winter-wheat/ …;;7.42797E+17;y;Awareness
AdamMoeller;5/5/2016 14:38;13;Lots of reddish, ugly looking bentgrass across the region due to wet & overcast conditions & abrasion. It's not always leaf spot disease.;;7.28202E+17;y;others
BASFAgProducts;6/29/2016 17:32;0;Are you prepared for alternaria leaf spot ? Merivon® fungicide can help prevent outbreaks.;;7.48177E+17;y;Ad
AqleemAbbas;5/18/2016 3:25;0;This is a California buckeye leaf. The spots here do not match photos of buckeye leaf spot or leaf blotch. Any... http:// fb.me/3iaVrY3b0;;7.32744E+17;y;Awareness
ChadBurkett3;6/10/2016 23:05;5;Rainy conditions this week have triggered Gray Leaf Spot on St. Augustine in SE Florida. #gray leaf spot pic.twitter.com/RTJdmqruTh;#gray;7.41376E+17;y;self
MattEssick1;6/15/2016 21:41;3;Seeing some holcus leaf spot in #corn . Bacterial disease and low levels so no fungicide necessary. pic.twitter.com/2cZlRzHrqI;#corn;7.43167E+17;y;self
ProgLandMan;6/16/2016 8:12;0;Angular Leaf Spot Causing Leaf Necrosis In Strawberries http:// dlvr.it/LZQzQr;;7.43325E+17;y;Awareness
TheorApplGenet;6/18/2016 12:30;0;FaRXf1: a locus conferring resistance to angular leaf spot in octoploid strawberry: http:// goo.gl/shmvXO pic.twitter.com/CtGZ4NVLf8;;7.44115E+17;y;Research
SyngentaUS;5/25/2016 23:31;1;Resistant frogeye leaf spot likely to spread. Tips to manage in 2016: http:// bit.ly/1U9fkpv #GrowMoreSoy pic.twitter.com/Sjmbi9oxcD;#GrowMoreSoy;7.35584E+17;y;Awareness
Plantfairs;3/3/2016 12:09;2;@GwenfarsGarden @NortonPriory I'll be trying it on my heleniums later in the season to see if it helps reduce leaf spot on them.;;7.05349E+17;y;self
GrowAppalachia;3/29/2016 17:30;0;"Disease codes: BLS (bacterial leaf spot ); LB (late blight); PM (powdery mildew), among many others... #GAHindmanWorkshop";#GAHindmanWorkshop;7.14837E+17;y;Ad
UTPlantDoc;6/4/2016 0:40;5;Roses diseases in our research plots: cercospora leaf spot , black spot, botrytis blight, powdery mildew. #rosechat pic.twitter.com/tX7WodNFLP;#rosechat;7.38863E+17;y;self
GreenDroveFarm;4/12/2016 10:17;0;No light leaf spot here #alwayslookonthebrightside pic.twitter.com/9wSbRXLatg;#alwayslookonthebrightside;7.19802E+17;y;others
ATSpolaris;5/13/2016 3:46;0;@tlg1962 definitely seen some red thread, seem some leaf spot , dollar spot will be soon with warmer days/nights and moisture;;7.30937E+17;y;self
Steve_Marcroft;6/19/2016 12:58;0;@gusmac05 @RobHart14 Not white leaf spot or downy. Looks abiotic. Looks like old frost damage??? Are new emerging leaves healthy?;;7.44485E+17;y;others
PresTreeServ;6/20/2016 21:50;0;Fungal disease: Do your #trees have spots? Could be Tabukia Leaf Spot . http:// ow.ly/Pmw5301mOwz pic.twitter.com/WxROjBCJNB;#trees;7.44981E+17;y;Awareness
skporter;6/16/2016 20:49;5;Gray leaf spot just starting to show on lower leaves in early planted #corn V10/11 near Paris, IL @corndisease pic.twitter.com/mwE7R60zMY;#corn;7.43516E+17;y;self
corndisease;6/18/2016 4:57;0;Gray leaf spot on corn in Harvey Co., Kansas. https:// twitter.com/KSU_CropDoc/st atus/743876302764019713 …;;7.44001E+17;y;self
VaillancourtLab;3/31/2016 18:02;1;Wilmot, Agreliant, target diseases are gray leaf spot , northern corn leaf blight, and Gosses wilt.;;7.1557E+17;y;Awareness
GeorgiaTurf;3/18/2016 16:41;5;"Already seeing Helminthosporium Leaf Spot on common bermudagrass. #AMartinez says it's hitting early and hard""! pic.twitter.com/Fh6eiosOm8""";#AMartinez;7.10854E+17;y;self
BASFAgronomist;6/24/2016 13:10;31;Evidence in Cent. IL- Macon Co. that conditions are favorable for devlopmt of Gray Leaf Spot . Not hard to find... pic.twitter.com/HvllDHwo2X;;7.46299E+17;y;self
AmyLDismukes;6/14/2016 18:40;0;A little bacterial leaf spot on my Aunt Rubies German Green tomato this morning. Quarantined and coming out! Bad tomato!!!;;7.42758E+17;y;self
olihillFW;3/29/2016 15:25;5;Latest . @Rothamsted light leaf spot data shows major threat in 2016 #clubhectare #LLS #OSR http:// bit.ly/1XZU7Pq pic.twitter.com/m8EBxtHdEj;#clubhectare #LLS #OSR;7.14806E+17;y;Awareness
maria_turfdr;6/26/2016 22:05;2;@TurfDiseases leaf spot , not a problem? pic.twitter.com/sK2k6OD2PX;;7.47159E+17;y;others
wheatpath;6/14/2016 9:05;3;So high disease pressure in #wheat field that #weeds are also strongly attacked: #Drechslera leaf spot on #ryegrass ? pic.twitter.com/CZBw47fOWN;#wheat #weeds #Drechslera #ryegrass;7.42614E+17;y;self
JennasFairyTale;4/6/2016 3:20;0;Cercospora Leaf Spot on Ligustrum | asktheplantmaster http:// ow.ly/10gg57 pic.twitter.com/vqtSzXeouG;;7.17522E+17;y;Awareness
Ecospray;4/12/2016 19:10;1;EGC helps with fusarium and leaf spot as well as controlling nematodes;;7.19936E+17;y;Awareness
davidjonesFW;3/22/2016 14:42;1;Light leaf spot threat looms in oilseed rape crops across the country #clubhectare http://www. fwi.co.uk/arable/oilseed -rape-growers-warned-over-light-leaf-spot-threat.htm … pic.twitter.com/wKF6XVx84Q;#clubhectare;7.12273E+17;y;Awareness
PlantSciNews;3/11/2016 18:03;0;First Report of Leaf Spot Disease in Angelica dahurica Caused by Phoma bellidis in China http:// ow.ly/XRdfZ;;7.08338E+17;y;Awareness
Keith_Velcourt;3/23/2016 20:47;17;Light leaf spot relentless -still reappearing after 3 fungicides since Xmas- triazole resistance becoming a reality pic.twitter.com/PQxnlAPwZZ;;7.12728E+17;y;self
crazy7s;6/5/2016 0:16;0;I liked a @YouTube video from @therustedgarden http:// youtu.be/J1az2aUKoyM?a Four Ways to Manage Tomato Leaf Spot & Blight: Baking Soda,;;7.39219E+17;y;Awareness
