username;date;retweets;text;hashtags;id
SweetTTreasures;2016-06-29 22:16;0;"Gorgeous Rich Chocolate Brown Rust Gold Swirl by SweetTeaTreasures http:// etsy.me/1MrDeFQ via @Etsy";;"748248873773129728"
KanyukaKostya;2016-06-29 21:37;2;"On our traditional field day we found plenty of yellow and brown rust , mildew, and some Fusarium and Septoria. https:// twitter.com/Rothamsted/sta tus/748139184372711424 …";;"748239064470556672"
jewelrytreasure;2016-06-29 15:15;0;"Brown Rust Diamond Stone Clip On Earrings Gold Ton… http:// tuppu.net/289ee1a2 #PrettyVintiqueJewels #BrownStoneButtons pic.twitter.com/6aV0JKfwAG";#PrettyVintiqueJewels #BrownStoneButtons;"748142733668192256"
Marchfsu92;2016-06-29 05:27;0;"I just added this to my closet on Poshmark: Brown, rust and orange satin tank. https:// bnc.lt/m/n00QWtAUju via @poshmarkapp #shopmycloset";#shopmycloset;"747994933244485632"
FeatherCycles;2016-06-29 00:13;1;"Made some ornamental cubes using Corten Steel which turns a really unique red/ brown rust colour… https://www. instagram.com/p/BHNuov9h0Vg/";;"747915900469149697"
MerryKicks;2016-06-28 07:34;0;"http:// ift.tt/28Znsef 7.5 HIPPIE LACED SIDE ZIP VTG 70s 80s BROWN RUST LEATHER STACKED HEEL BOOT SHOE";;"747664493396828160"
ModernOwners;2016-06-28 05:16;0;"http:// ift.tt/2929KH3 BED STU Mens Telluride Brown Rust Desert Chukka Ankle Boots Shoes Sz 9.5 Z9-148";;"747629830804471808"
bmorrissd2;2016-06-28 03:29;0;"Scarf, Neck Warmer, Brown, Rust , Black Tan, Button accent. by LovetoKnitHats http:// etsy.me/1QEw2uh via @Etsy";;"747602833957019648"
TJex_Agronomy;2016-06-27 19:34;5;"Tan Spot in Graham, & Brown Rust in many of the untreated plots including Crusoe,Graham &Lili. @AgriiWest @ssmshah pic.twitter.com/V3HxCWYBnt";;"747483328652152832"
Mandi_Ottoson;2016-06-27 12:45;0;"#flannelshirts #Sale TRUE RELIGION long sleeve brown/rust plaid flannel shirt (L)-NICE! http:// dlvr.it/Lg1DbQ #Women #shirts";#flannelshirts #Sale #Women #shirts;"747380409739075584"
SweetTTreasures;2016-06-27 03:19;0;"Beautiful Hand Crocheted Afghan Brown Rust by SweetTeaTreasures http:// etsy.me/1MlnlSy via @Etsy";;"747237786713874432"
todayspromos;2016-06-27 01:29;0;"Loloi Rugs Larson Too 4 x 6 Brown Rust Area Rugs http:// promo.discountstandard.com/36790";;"747210229947850752"
JandTsMadness;2016-06-26 22:55;0;"New Brown Rust Celtic Print One Shoulder Silk Blend MIDI Sundress Dress L | eBay http:// ow.ly/o5g5301EnEY";;"747171342533935105"
MiaSorellaGifts;2016-06-26 19:00;0;"Serving Bowl Earth Tones of Tan Brown Rust by miasorellagifts http:// etsy.com/listing/561199 08/serving-bowl-earth-tones-of-tan-brown?ref=shop_home_active_29#20160626010004 … #etsymnt";#20160626010004 #etsymnt;"747112203359129600"
Wolfenhaus;2016-06-25 22:21;0;"Green, some brown rust coloration.";;"746800547588628480"
NancyEllenSt;2016-06-25 19:04;0;"Door snake, brown rust amber yellow, door draft stopper, … http:// tuppu.net/a6b2af3c #NancyEllenStudios #BreezeBlocker pic.twitter.com/mN32vR87FS";#NancyEllenStudios #BreezeBlocker;"746750817697308672"
