username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SARDA6;2016-11-29 22:45;6;0;"http:// eepurl.com/cq27uX Fusarium graminearum on the increase.";;;;"803716540990427136";https://twitter.com/SARDA6/status/803716540990427136
EmergeAg;2016-11-29 22:43;1;2;"Great afternoon spent at the Regional Fusarium Info Session. Drop by the office, we look forward to passing along all the newly learned info pic.twitter.com/m0FKp4mSfQ";;;;"803716082901155841";https://twitter.com/EmergeAg/status/803716082901155841
SKAgriculture;2016-11-29 22:29;2;4;"John Ippolito talking about managing Fusarium at Swift Current #fusariuminfo2016 pic.twitter.com/BMTl6n18kv";;;#fusariuminfo2016;"803712477171068928";https://twitter.com/SKAgriculture/status/803712477171068928
JanellRempel;2016-11-29 21:36;0;0;"@Grain_Canada No denying it, fusarium is here!";;@Grain_Canada;;"803699156120313856";https://twitter.com/JanellRempel/status/803699156120313856
Kindrachuk;2016-11-29 21:09;6;3;"Optimum conditions for Fusarium infection to occur #fusariuminfo2016 @BarbZiesman pic.twitter.com/L5mNmvTSMk";;@BarbZiesman;#fusariuminfo2016;"803692410676985856";https://twitter.com/Kindrachuk/status/803692410676985856
Grain_Canada;2016-11-29 21:05;28;13;"Find out the frequency and severity of Fusarium -damaged kernels in your crop district. http:// ow.ly/PYZj306DtZt pic.twitter.com/U0Xur3tvpA";;;;"803691312771833856";https://twitter.com/Grain_Canada/status/803691312771833856
SKAgriculture;2016-11-29 21:01;2;1;"Wheat has more obvious symptoms of Fusarium than barley- sometimes identified by a pink discolouration #fusariuminfo2016 pic.twitter.com/ElP1Sc4Lb0";;;#fusariuminfo2016;"803690323843121152";https://twitter.com/SKAgriculture/status/803690323843121152
SKAgriculture;2016-11-29 20:59;1;1;"Our own @BarbZiesman talks about living with fusarium in Swift Current #fusariuminfo2016 pic.twitter.com/W81gUjkuqi";;@BarbZiesman;#fusariuminfo2016;"803689795100798976";https://twitter.com/SKAgriculture/status/803689795100798976
SKAgriculture;2016-11-29 20:29;3;4;"Kelly Erickson from @skcropinsurance addresses some of the challenges with Fusarium from 2016 #fusariuminfo2016 pic.twitter.com/KjG4rfWQvY";;@skcropinsurance;#fusariuminfo2016;"803682408084238336";https://twitter.com/SKAgriculture/status/803682408084238336
EbizorBD;2016-11-29 19:07;0;0;"Ecuador recomienda proteger al banano de la plaga Fusarium oxysporum http:// dlvr.it/MmbFyl pic.twitter.com/PV8edzmi9x";;;;"803661577664638976";https://twitter.com/EbizorBD/status/803661577664638976
