username;date;retweets;text;hashtags;id
Bayer4CropsCA;2016-06-30 00:44;11;"Fusarium Head Blight is present in #WestCdnAg . Be sure to assess the risk in your field and protect your crops pic.twitter.com/N8z6v4r8Er";#WestCdnAg;"748285928225943552"
goyalvgvarun;2016-06-29 16:48;0;"QTL Characterization of Fusarium Head Blight Resistance in CIMMYT Bread Wheat Line Soru#1 http:// journals.plos.org/plosone/articl e?id=10.1371%2Fjournal.pone.0158052 …";#1;"748166201977626625"
MBGovAg;2016-06-28 21:45;8;"Daily #Fusarium Head Blight risk forecast maps are updated here http:// bit.ly/1rvhDnX . #MBAg pic.twitter.com/TpsQS4kSt7";#Fusarium #MBAg;"747878551743934464"
kernalbrewing;2016-06-27 21:00;0;"Fusarium Head Blight in Malting Barley #brewingmadeeasy http:// feedproxy.google.com/~r/brewersasso ciation/ODag/~3/0rPdVoWseME/ …";#brewingmadeeasy;"747504841493118976"
pubproducts;2016-06-27 20:00;0;"Fusarium Head Blight in Malting Barley http:// ift.tt/28XMPZP";;"747489765839245312"
EdRojasT;2016-06-26 13:59;1;"Fusarium Head Blight season is upon us. Great video from Wheat School - FHB Fungicide Application Tips https:// youtu.be/L2okT-pyb7g #IDM #Wheat";#IDM #Wheat;"747036609229500416"
AgriVille;2016-06-25 17:16;1;"Monitoring The Spread of fusarium head blight (FHB) in Western Canada Watch http:// Farms.com/commentaries/v ideo-spread-of-fusarium-head-blight-fhb-in-western-canada-109165.aspx … pic.twitter.com/ciksj97UxO";;"746723745532903424"
UVMExtcropsoil;2016-06-24 20:40;1;"Evaluating organic controls for fusarium head blight . Learn more at 6/28 grain research day, http:// bit.ly/24XvpUa pic.twitter.com/K0kTfcN4uZ";;"746412593196208128"
thewheatteam;2016-06-24 15:10;3;"Wheat School - Fusarium Head Blight Fungicide Application Tips https:// youtu.be/L2okT-pyb7g via @YouTube";;"746329589534855168"
skellerfarms;2016-06-23 03:16;1;"Wheat School - Fusarium Head Blight Fungicide Application Tips Never a shortage of good information @nozzle_guy http:// youtu.be/L2okT-pyb7g";;"745787504599531520"
