username;date;retweets;text;hashtags;id
BBOGardening;2016-06-29 19:03;0;"How to keep your tomatoes free of Late Blight http:// buff.ly/AlA9rE pic.twitter.com/EeWMZRwydk";;"748200165106909184"
SelenaNelson93;2016-06-29 15:21;0;"Late blight is affecting tomatoes in Central Arkansas. Is this a common occurrence? Watch my story on YouTube @UATV https://www. youtube.com/watch?v=EoWRL0 iQO-I&feature=share …";;"748144305068355585"
SyngentaCropsUK;2016-06-29 13:15;0;"One of our useful #AgronomyTools is #BlightCast which gives advanced warnings on late Blight activity: https://www. syngenta.co.uk/agronomy-tools";#AgronomyTools #BlightCast;"748112646709329920"
BASFAgro;2016-06-28 16:59;1;"Late blight affecting tomatoes in Arkansas. Learn what to do about it: http:// on.basf.com/291rmQV #ag #cropprotection pic.twitter.com/ImQPGWkyZx";#ag #cropprotection;"747806550450900992"
HighPlainsJrnl;2016-06-28 00:13;0;"Improve late blight management with new 'Focus on Potato' webinar http://www. hpj.com/crops/improve- late-blight-management-with-new-focus-on-potato-webinar/article_db00a908-f1e2-5031-b7cc-07d2bc81c58a.html#.V3E8esJ0124.twitter …";#;"747553357988978688"
HighPlainsJrnl;2016-06-27 23:12;0;"Late blight hitting Arkansas tomatoes early http://www. hpj.com/crops/late-bli ght-hitting-arkansas-tomatoes-early/article_062117c9-96ed-55e7-99c0-245decadb7ea.html#.V3E8hiLB8nM.twitter …";#;"747538018907492352"
SarpoUK;2016-06-27 08:06;3;"@potatodoctor @spuddoctor @earthFgardener @sustfarming1 Late blight getting started on allotment at Guildford. pic.twitter.com/7bwFCUkPd2";;"747310018001702912"
GardensGrowth;2016-06-26 10:03;2;"Tomato Blight: Organic Treatment for Early and Late Blight http:// dld.bz/e6WPC #Gardening";#Gardening;"746977155209367552"
produceuniverse;2016-06-26 00:45;0;"Late blight hits Arkansas tomatoes - http:// buff.ly/28W041M pic.twitter.com/F5xIWTeMGj";;"746836649804500993"
SarpoUK;2016-06-25 12:04;1;"@potatodoctor @spuddoctor @stevemercer4 Toms @RHSWisley have got late blight . Potatoes in garden are still healthy. pic.twitter.com/XRUSDzG5LJ";;"746645294364958720"
BBOGardening;2016-06-24 23:38;0;"Avoiding Late Blight In Your Tomato Garden http:// buff.ly/28Kwl6o pic.twitter.com/6KvUIZ7tYS";;"746457444033961984"
BBOGardening;2016-06-24 19:34;0;"How to control Early Blight and Late Blight in Tomatoes and Potatoes http:// buff.ly/28R3Zdn pic.twitter.com/yUZs02zzcN";;"746395976831746048"
RePEc_NEP_PKE;2016-06-24 17:36;0;"http:// d.repec.org/n?u=RePEc:ags: saea16:230080&r=pke … Economic Threshold for Dynamically Optimal Late Blight Management";;"746366365892632577"
SyngentaCropsUK;2016-06-24 13:01;6;"Make use of #Blightcast this season to get advanced updates on late Blight activity. http:// ow.ly/3Q5n301ytUZ pic.twitter.com/rNZ7mkAbv5";#Blightcast;"746297112992882688"
kctomato;2016-06-24 02:49;0;"Did you actually seed bindweed? Caveat: I spent grad school spraying plants w/ early blight & late blight inoculum https:// twitter.com/lynnsosnoskie/ status/746140786928951297 …";;"746143131343552512"
THVDenise;2016-06-23 23:55;1;"Tonight at 5-A fungal disease threatens tomato crops. @ErikaFerrando_ tells us how Arkansas farmers are handling " late blight "";;"746099343900348416"
ErikaFerrandoTV;2016-06-23 18:57;2;"Tomatoes are a major source of income for this Malvern grower. Hear how he's coping with the Late Blight outbreak. pic.twitter.com/Ogz2u1rpsI";;"746024277011468288"
syngentacanada;2016-06-23 17:02;1;"Spray #OrondisUltra early to set the stage for success against late blight . @thisisWoolley tells you why: http:// ow.ly/J4n3300Md6v";#OrondisUltra;"745995563489951744"
ArFB;2016-06-23 16:27;0;"Late blight hitting Arkansas tomatoes early due to heavy spring rains. via @uaex_ag http:// uaex.edu/media-resource s/news/june2016/06-21-2016-Ark-late-blight-tomatoes.aspx … #ArkAg";#ArkAg;"745986600606240768"
pptsearch365;2016-06-23 06:02;0;"potato late blight . PPT Template - http://www. pptsearch365.com/potato-late-bl ight-.html … #powerpoint #slide #potato #late #blight .";#powerpoint #slide #potato #late #blight;"745829334284374017"
pptsearch365;2016-06-23 06:02;0;"potato late blight PowerPoint Slide - http://www. pptsearch365.com/potato-late-bl ight.html … #powerpoint #slide #potato #late #blight";#powerpoint #slide #potato #late #blight;"745829248749965312"
DatatechAg;2016-06-23 01:20;0;"Blightline June 22, 2016: No late blight has been reported in ND or MN. Late blight has been reported in cent... http:// bit.ly/28QwIka";;"745758371874123777"
postframepro;2016-06-23 01:20;0;"Blightline June 22, 2016: No late blight has been reported in ND or MN. Late blight has been reported in cent... http:// bit.ly/28QwIka";;"745758369424650240"
flplantdr;2016-06-22 21:12;0;"Growing tomatoes? Watch for late blight and wet weather and protect your plants! https:// twitter.com/plantdisease/s tatus/745690886797828098 …";;"745696097620926464"
plantdisease;2016-06-22 20:52;3;"Late blight strikes Arkansas tomatoes early, specialist says https:// shar.es/1JB0D0 via @pbcommercial";;"745690886797828098"
agwatchnetwork;2016-06-22 19:12;0;"Late blight hitting Arkansas tomatoes early - http://www. agwatchnetwork.com/late-blight-hi tting-arkansas-tomatoes-early/ …";;"745665776690946049"
spudology;2016-06-22 16:52;1;"Blightline, June 22 available at http:// z.umn.edu/spud . No late blight reported but severity values accumulating pic.twitter.com/kRWOiqNLyK";;"745630657922109440"
Scien_net;2016-06-22 09:09;0;"#Scien A stress-test evaluation of disease forecasting for managing potato late blight http:// dlvr.it/LcwRw9";#Scien;"745514043926994947"
usarkansasnotic;2016-06-22 00:19;0;"Late Blight Hitting Arkansas Tomatoes Early - KARK - KARK Late Blight Hitting Arkansas Tomatoes Early KARK FAYE... http:// ow.ly/s4CA501CUGk";;"745380530422751232"
Bayer4CropsUS;2016-06-21 20:34;1;"Combat diseases like late blight in #pistachios to help deliver a beautiful harvest! http:// bit.ly/1Tzm7Ww #HealthyWithLUna";#pistachios #HealthyWithLUna;"745323905015939072"
uaex_gardening;2016-06-21 19:50;0;"Late blight hitting Arkansas tomatoes early. http:// goo.gl/F6UPH7";;"745312864701816834"
uaex_ag;2016-06-21 19:50;2;"Late blight hitting Arkansas tomatoes early. http:// goo.gl/F6UPH7";;"745312862512386048"
UAEX_edu;2016-06-21 19:50;0;"Late blight hitting Arkansas tomatoes early. http:// goo.gl/F6UPH7";;"745312860629196800"
thisisWoolley;2016-06-21 16:33;1;"Beauty field of processing potatoes protected by Orondis for 21 days of Late Blight control near Alliston, ON pic.twitter.com/ItnXmX50zT";;"745263362670354434"
Cano_Lab;2016-06-21 15:10;1;"Arabidopsis late blight http:// onlinelibrary.wiley.com/resolve/doi?DO I=10.1111%2Fcmi.12628#.V2k8dGvpJ7A.twitter … @Belhaj_Khaoula @dromius @KamounLab";#;"745242554707353600"
ASD_INRA;2016-06-21 14:54;1;"Controlling potato late blight using fuzzy cognitive mapping http:// ist.blogs.inra.fr/agronomy/2016/ 06/21/controlling-potato-late-blight-using-fuzzy-cognitive-mapping/ … http:// dx.doi.org/10.1007/s13593 -016-0370-1 … pic.twitter.com/ajcm5A4MY3";;"745238498756726784"
JimAlfano1;2016-06-21 14:15;0;"Cellular Microbiology: Arabidopsis late blight : Infection of a nonhost plant by Albu... | @scoopit via @KamounLab http:// sco.lt/8MO2LZ";;"745228593953935361"
ENDURE_ERG;2016-06-21 10:25;0;"IPMBlight 2.0 project tackling mystery of why potato late blight is so hard to control using #IPM approaches http:// bit.ly/28KqkYx";#IPM;"745170807098249216"
shamyjean;2016-06-20 22:19;0;"Bisht says Manitoba has no cases of late blight yet, but with the frequent rains, he says conditions are favourable for the disease. #mbag";#mbag;"744988125273825280"
shamyjean;2016-06-20 22:18;0;"Washington state already has cases of late blight . If wind direction is right, it could spread our way, according to MB Ag's Vikram Bisht";;"744987701183545345"
ajanegevens;2016-06-20 17:46;2;"Updates on blackleg (Pecto/Dickeya), late blight , and more..... UWEX Veg Crop Updates #14 http:// fb.me/5dHYY0YKT";#14;"744919260426801152"
syngentacanada;2016-06-18 17:02;1;"Spray #OrondisUltra early to set the stage for success against late blight . @thisisWoolley tells you why: http:// ow.ly/72p8300SK7d";#OrondisUltra;"744183387892617216"
phy_papers;2016-06-18 16:41;0;"The Solanum demissum R8 late blight resistance gene is an Sw-5 homologue that has been deployed worldwide in late… http:// dlvr.it/LbRl4Y";;"744178154147700739"
AdamaUK_;2016-06-18 11:15;3;"Protect against increased late blight infections http:// bit.ly/1rECACA pic.twitter.com/sWsbEojcs3";;"744096127415386112"
RichardCowley2;2016-06-17 21:24;0;"@edgeben @mem_somerville @greenstatetv Dithane 945 ? several applications for late blight but often used mid season on spuds";;"743887069957791745"
jacquet_chris;2016-06-17 13:43;0;"Arabidopsis late blight : Infection of a nonhost plant by Albugo laibachii enables full colonization... | @scoopit http:// sco.lt/5T87mr";;"743770934981562369"
eyeNIvibe;2016-06-17 08:03;0;"But almost all of them has had a touch of early or late blight . You gotta be pretty damn good and consistent to prevent that.";;"743685510707589120"
PotatoPro;2016-06-16 21:48;3;"Focus on Potato Webinar: Late Blight Management #ag #potato #blight #webinar #UW #Pesticide http:// potatopro.com/node/77754 pic.twitter.com/CBQwZlSdlT";#ag #potato #blight #webinar #UW #Pesticide;"743530781075701760"
LauraGrenvilleB;2016-06-16 14:28;1;"#OMGN16 check out the danish decision support system http://www. skimmelstyring.dk / which is working well in the Nordics for predicting late blight";#OMGN16;"743419987403153408"
TheSainsburyLab;2016-06-16 11:46;9;"Cell. Microbiology: Arabidopsis late blight : Infection of a nonhost plant by Albugo laibachii enables full... | http:// sco.lt/85Kpcn";;"743379277622689792"
dromius;2016-06-16 07:58;5;"Arabidopsis late blight :Infection of nonhost plant by Albugo laibachii enabls colonization by Phytophthora infestans http:// onlinelibrary.wiley.com/resolve/doi?DO I=10.1111%2Fcmi.12628#.V2I_eUIz5G0.twitter …";#;"743321916560183296"
globalfoodsecur;2016-06-15 23:06;0;"Secondary cell walls thicker in late blight resistant cultivars vs susceptible: Mosquera #potato #gifsconf2016";#potato #gifsconf2016;"743187933704781824"
globalfoodsecur;2016-06-15 23:03;0;"Differential exp'n of resistant and susceptible late blight phenotypes in stem and leaf. Resistance mechanism?: Mosquera #gifsconf2016";#gifsconf2016;"743187076124860416"
ajanegevens;2016-06-15 21:42;2;"preventive late blight management is critical: an ounce of prevention is worth a pound of cure http:// fb.me/9iHsycMDN";;"743166790038097920"
deltagardener;2016-06-15 18:15;0;"@flowercents Heard from MGs that they expect late blight this month. I should get my tomatoes covered but it may be too late.";;"743114765971525632"
syngentacanada;2016-06-15 17:35;1;"How do the two active ingredients in #OrondisUltra deliver leading late blight control? Get the answer: http:// ow.ly/votS300SJVG";#OrondisUltra;"743104633388830722"
drmajoga;2016-06-15 17:34;0;"A Phytophthora infestans RXLR effector targets plant PP1c isoforms that promote late blight disease (2016) http:// sco.lt/7QCHx3";;"743104429675687936"
gardeningoldman;2016-06-14 22:02;0;"Blight: 5 Ways to Control Potato Blight ( Late Blight ) #gardeningtips http:// youtu.be/PSXXoGrOyDg";#gardeningtips;"742809360833884160"
SpudIslandGirl;2016-06-14 18:33;0;"Even the @weathernetwork knows about 21 days of late blight control! #OrondisUltra @syngentacanada pic.twitter.com/Onc4fTaZR2";#OrondisUltra;"742756881219784704"
LMcLachlan60;2016-06-13 18:06;0;"@PAN_UK Late blight resistance. Please stop spreading bull. #gmo#factsnotfear";#gmo #factsnotfear;"742387721683931137"
syngentacanada;2016-06-13 17:02;2;"Want 21 days of late blight control for your potatoes? Start with getting the full scoop on #OrondisUltra http:// ow.ly/6Wc2300JgfB";#OrondisUltra;"742371588130131969"
NizeyJovan;2016-06-13 15:52;0;"Ugandan scientists recently revealed the latest GMO potato resistant to late blight disease. Farmers in Kigezi region are happy";;"742353939006423040"
SpudmanMag;2016-06-13 15:25;0;"UPDATE: recommendations for late blight strain identified in Washington: http:// bit.ly/21cAdlT";;"742347270033657856"
amiran_kenya;2016-06-12 11:01;5;"@mkulimayoung @AmoRobby it's late blight on tomatoes. Use Victory @50g /20ltrs, spray Amimax 5 days later at 50g/20ltrs #AgribusinessTalk254";#AgribusinessTalk254;"741918289757151232"
IMQFT;2016-06-11 20:25;0;"Veg #Facts ! The potato disease “ Late Blight ” was the principal cause of the Irish Potato Famine, which killed a half million people.";#Facts;"741697793656393729"
_adj_noun;2016-06-11 19:50;0;"bedraggled late blight";;"741689194397982720"
Phytpath_Papers;2016-06-11 14:17;1;"[Detection of Late Blight Disease on Potato Leaves Using Hyperspectral Imaging Technique]. http:// dlvr.it/LXS30S";;"741605182333550592"
par_papers;2016-06-11 10:27;0;"A Phytophthora infestans RXLR effector targets plant PP1c isoforms that promote late blight disease. http:// dlvr.it/LXNgfY";;"741547306684555266"
SpudmanMag;2016-06-10 19:20;0;"Washington state late blight strain identified: http:// bit.ly/21cAdlT";;"741319044989476864"
L_Rossnagel;2016-06-10 12:10;0;"Infected psyllids, late blight reported in Northwest http://www. capitalpress.com/Nation_World/N ation/20160606/infected-psyllids-late-blight-reported-in-northwest#.V1qSIXmsJC0.twitter …";#;"741210998808289280"
JohnMakotoM;2016-06-10 02:52;1;"Accelerated cloning of a potato late blight –resistance gene using RenSeq and SMRT sequencing http:// dx.doi.org/10.1038/nbt.35 40 …";;"741070537665826816"
stephenmarek2;2016-06-09 22:44;0;"Rust and late blight resistance genes: Nature Biotechnology | @scoopit http:// sco.lt/8xoc0f";;"741008030674898945"
VanDykeGardens1;2016-06-09 16:01;0;"How to combat Late Blight on potatoes and tomatoes! http:// ow.ly/V6bY3013l1J pic.twitter.com/PfAjvOgaKn";;"740906692024635392"
