username;date;retweets;text;hashtags;id
RadianceCoach;2016-06-28 19:15;0;"Kudos to Carlos Mario Rodriguez for solving the “coffee leaf rust (fungus) “ problem in South America for coffee... http:// fb.me/1clSzU6Ct";;"747840813942484992"
BioNovelus;2016-06-27 16:51;325;"Wow, did you know #coffee leaf rust is also present in Nepal? $ ONOV @NepaleseCoffee http:// bit.ly/28VRp9S pic.twitter.com/tdf4j0cAgV";#coffee;"747442145078870016"
the_rustbust;2016-06-24 07:33;0;"RUST REPORT WA: Stem rust in oat volunteers west of Wagin & barley leaf rust South Stirling & Gnowellen. MONITOR! http:// goo.gl/Z9aK2Y";;"746214746152566785"
DAF_WA;2016-06-24 05:39;3;"Barley leaf rust reported in South Stirling. Growers are reminded to monitor crops #PestFax http:// bit.ly/28PkOon pic.twitter.com/8VlUouLs9F";#PestFax;"746185856801714180"
LMKWAagronomy;2016-06-24 03:30;2;"Barley leaf rust found on La Trobe & Bass barley by @KimCAdams Landmark Katanning pic.twitter.com/OESvMJ4lqQ";;"746153562074316800"
PeterRoberts_WA;2016-06-22 05:12;4;"New @theGRDC tips & tactics has latest info on prevention & mgmt of stem, stripe & leaf rust http:// bit.ly/1Uq832g pic.twitter.com/RIaahARMqg";;"745454291205316608"
CHMMNews;2016-06-21 16:45;0;"PRO/PL> Leaf rust , wheat – UK: (eastern) http:// dlvr.it/LcdYP7 #HazMat";#HazMat;"745266305738018816"
ProMED_mail;2016-06-21 15:28;0;"PRO/PL> Leaf rust , wheat - UK: (eastern) http:// bit.ly/28Mh2OW";;"745246926489026560"
PublicHealthBot;2016-06-21 14:23;0;"PRO/PL> Leaf rust , wheat - UK: (eastern) http:// ift.tt/28QEEAj";;"745230571861860352"
HickeyLab;2016-06-21 08:05;3;"Rapid phenotyping method for wheat leaf rust in @PlantMethods accessed 6,500 times! http:// goo.gl/I1pR4y pic.twitter.com/X8EORn0ev2";;"745135475296370688"
agromick82;2016-06-20 23:06;0;"@lukeywilkins it's not leaf rust ? It would make more sense";;"744999952263196672"
HickeyLab;2016-06-19 23:50;4;"Rapid method for phenotyping wheat leaf rust resistance in @PlantMethods accessed 6500 times http:// goo.gl/I1pR4y pic.twitter.com/fO7a2lTFV5";;"744648505021562880"
the_rustbust;2016-06-19 11:49;1;"REMINDER: Monitor for rust! Barley leaf rust found in South Stirling WA at stem elongation stage. Mgmt strategies: http:// goo.gl/6w9Ef6";;"744467174866071552"
wheat_papers;2016-06-18 21:24;0;"The relationship of leaf rust resistance gene Lr13 and hybrid necrosis gene Ne2m on wheat… http:// dlvr.it/LbWTzk pic.twitter.com/oWky5y9sno";;"744249350704947200"
wheatgen_papers;2016-06-18 12:33;0;"The relationship of leaf rust resistance gene Lr13 and hybrid necrosis gene Ne2m on wheat… http:// dlvr.it/LbN3ps pic.twitter.com/7YD3wTvpNA";;"744115738663784449"
theGRDC;2016-06-18 04:02;6;"Info on different #barley varietal responses to leaf rust #fungicide sprays http:// bit.ly/2341h8k @GRDCUpdateNorth pic.twitter.com/HZDWMQSuqD";#barley #fungicide;"743987106561687552"
pjderoc;2016-06-18 01:55;0;"@ekaskiw @RonKrahn @BlHeide @RoncerayDan From infection to symptoms, how long @PratisaraB for leaf rust ? Similar to stripe rust?";;"743955296733659138"
pjderoc;2016-06-18 01:53;0;"@ekaskiw @RonKrahn @BlHeide @RoncerayDan Sorry....looks like leaf rust in your photo. Have stripe rust on the brain.";;"743954836320727040"
FAOemergencies;2016-06-17 11:06;1;". @ItalyMFA funded project: Strengthening the #resilience of small prod affectd by coffee leaf rust #Guatemala #PH http:// bit.ly/28396z1";#resilience #Guatemala #PH;"743731420472893443"
BASF_Agro_Au;2016-06-17 10:35;0;"@bentags systiva controls sfnb, nfnb.out to mid flower, Scald, PM, leaf rust , loose smut out to flag leaf and supp of rhizo.";;"743723644061265921"
howumakecoffee;2016-06-15 00:30;0;"Peru&#039;s coffee exports recover in 2015/16 but still affected by leaf rust #coffeemaker https://www. agra-net.com/agra/internati onal-coffee-report/features/peru-s-coffee-exports-recover-in-201516-but-still-affected-by-leaf-rust-518107.htm …";#039 #coffeemaker;"742846593091534848"
WCoffeeResearch;2016-06-14 22:37;4;"Only 11% of the coffee in El Salvador is resistant to coffee leaf rust , says @PROCAFE_SV today. https:// twitter.com/PattyGarciaEs/ status/742747402155659266 …";;"742818334672982016"
WCoffeeResearch;2016-06-14 22:35;0;"A cup tasting event today in El Salvador highlighted coffee- leaf-rust -resistant varieties. Critical for farmers! https:// twitter.com/PattyGarciaEs/ status/742739748737814528 …";;"742817657330618369"
UTPlantDoc;2016-06-14 15:44;3;"Leaf rust (Puccinia malvacearum) working over hollyhocks at the kitchen garden in the UT Gardens; easy to ID. pic.twitter.com/4pLnDFABkA";;"742714366911516672"
PeruBusiness;2016-06-14 14:33;0;"#Perú * Peru's coffee exports recover in 2015/16 but still affected by leaf rust - AgraNet (subscription) http:// ow.ly/37du501msxu";#Per;"742696384026009600"
CoffeeMaxo;2016-06-14 13:00;0;"Peru&#039;s coffee exports recover in 2015/16 but still affected by leaf rust #WiredForLife https://www. agra-net.com/agra/internati onal-coffee-report/features/peru-s-coffee-exports-recover-in-201516-but-still-affected-by-leaf-rust-518107.htm …";#039 #WiredForLife;"742673040287371264"
MakeCoffeetoday;2016-06-14 13:00;0;"Peru&#039;s coffee exports recover in 2015/16 but still affected by leaf rust #makecoffeetoday https://www. agra-net.com/agra/internati onal-coffee-report/features/peru-s-coffee-exports-recover-in-201516-but-still-affected-by-leaf-rust-518107.htm …";#039 #makecoffeetoday;"742672985870372864"
CoffeeCurrent;2016-06-14 12:57;0;"Peru's coffee exports recover in 2015/16 but still affected by leaf rust http:// ift.tt/1UaArLv";;"742672296637239296"
